bps_used variant success reddening_law rmax e_rmax Tmax e_Tmax Vmax e_Vmax st e_st rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  False O94 18.314630149678898 0.022 59345.64146342405 0.34 18.62433860478452 0.019 2.7831602622844964 0.03 None None None None
J-c-o 1D3 False O94 18.12977224797564 0.022 59335.965714791484 0.34 18.612014082785986 0.019 3.587833663855103 0.03 None None None None
