bps_used variant success reddening_law calibration Tmax e_Tmax DM e_DM st e_st EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 59825.02721254342 0.9154764313500048 37.06359073534527 0.15732717384431294 1.1890254996855314 0.11494018295900116 0.11234965999801576 0.11504951720625996 0.615 0.611 0.97 0.972
c-o  True F19 6 59824.99110992218 0.9182971737320553 37.10515873905176 0.16041763973020648 1.18911408819038 0.11474442970066985 0.12181156144661269 0.10641943531662408 0.612 0.608 0.971 0.973
c-o-ztfr  True F19 6 59825.53319500008 0.7480883075067639 36.95514870906609 0.15384547687210967 1.1890223063721463 0.09730750795041533 0.1993554792495743 0.1054392839274239 0.875 0.862 0.719 0.741
J-c 1D3 True O94 0 59826.022731130695 1.0605584345239887 36.69187515648014 0.16768392819274075 1.0290652472452013 0.15996623324611212 0.2736475477379321 0.08795609939921688 1.059 1.053 0.39 0.394
J-c-o 1D3 False O94 0 None None None None None None None None None None None None
J-c-ztfr 1D3 False O94 0 None None None None None None None None None None None None
J-ztfr 1D3 False O94 0 None None None None None None None None None None None None
