bps_used variant success reddening_law gmax e_gmax Jmax e_Jmax st e_st rmax e_rmax Tmax e_Tmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 18.054841851093684 0.13885717104514061 None None 1.0248361055188526 0.14330383522271223 18.44294736310713 0.1658037588813496 59317.504633196164 5.919333444950772 0.6 0.596 0.856 0.859
J-c-o 1D3 True O94 18.077684170684755 0.0551603341028615 18.624777239686434 0.5285477848474031 0.9736940911754098 0.12392237582755143 18.463149539382346 0.11564055053151291 59319.641594177716 3.9627850063149284 0.552 0.549 0.912 0.914
