bps_used variant success reddening_law gmax e_gmax Jmax e_Jmax st e_st rmax e_rmax Vmax e_Vmax Tmax e_Tmax Bmax e_Bmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True F19 None None None None 1.053567097556272 0.0366622716739567 17.182525525831952 0.027083880229811255 17.111966452134972 0.024307539289534028 59113.33717802012 0.39334191201729674 None None 0.604 0.58 0.883 0.901
c-o  True F99 None None None None 1.053475653736278 0.03663128679397573 17.18685549412382 0.02706446137124481 17.11410587348653 0.024289670747746885 59113.33616329322 0.3931495605327366 None None 0.602 0.578 1.0 1.0
c-o  True O94 None None None None 1.053562366777416 0.03665497844845505 17.182680925703686 0.027078325202102994 17.112252045714246 0.024301981888799236 59113.336657912354 0.3932906790913871 None None 0.604 0.579 0.884 0.902
c-o-ztfg  True F19 None None None None 1.0461563167675034 0.0324497244240463 17.180875130480207 0.024614618068658993 17.073716793108957 0.02166673839311883 59112.85655466676 0.35849775400885514 17.09789759756028 0.016368546530481056 0.398 0.375 1.0 1.0
c-o-ztfg-ztfr  True F19 None None None None 1.038897309446427 0.03180045783176507 17.157762207461687 0.02367628646480101 17.071063632979687 0.022030089794599528 59112.92823458806 0.358948133871855 17.094564910361196 0.016634394580240162 0.528 0.486 0.999 1.0
c-o-ztfg-ztfr  True O94 None None None None 1.0388992227090068 0.03204289212782736 17.157989567788295 0.023900008899545667 17.071374076435724 0.022418998613087927 59112.92783149869 0.36150759407412125 17.094551261993164 0.01718028742124873 0.527 0.485 0.999 1.0
c-o-ztfr  True F19 None None None None 1.0335649709884305 0.0325309339314404 17.15526085280357 0.02418227553116291 17.102805344665242 0.023199160517669626 59113.22421029009 0.37638283660203925 None None 0.688 0.641 0.933 0.962
c-ztfg-ztfr  True F19 None None None None 1.0506396956786312 0.03223050632773411 17.138195857488903 0.02433906890126283 17.09281521187295 0.021817346714143083 59112.79140689568 0.36672008948911117 17.073639186573928 0.016407797097051723 0.449 0.411 1.0 1.0
J 2D False O94 None None 17.623390873317316 0.0557611999155062 0.9478033539341484 0.05103612258102362 None None None None 59112.89003625314 0.5343617201451182 None None None None None None
J-asg-c-o-ztfg-ztfr 2D True F19 17.135897170745924 0.036276554570494536 17.662108429054616 0.048503395427467434 1.0312485946048071 0.0318741232012877 17.152428022137123 0.024187172488668803 17.070321746859783 0.02305089383507704 59113.020043895245 0.3596987789175088 17.08906536346894 0.018434585689570432 0.831 0.716 0.856 0.972
J-c-o 1D3 True F19 None None 17.631684432625025 0.04760284082207967 1.031854143931775 0.03415298532818432 17.16790837472789 0.02699917886367021 17.09664195465724 0.023967431371248946 59113.345093450655 0.3828227293246145 None None 1.47 0.876 0.072 0.629
J-c-o 1D3 True O94 None None 17.63191617933121 0.04838248443911386 1.0318352274435976 0.035026232720404525 17.168060737241742 0.028009318790108872 17.096920849347 0.024957446396220585 59113.34471838706 0.39188751503824704 None None 1.47 0.876 0.072 0.629
J-c-o 2D True F19 None None 17.65869241906718 0.04935406434180949 1.0361739567210297 0.03439841857735728 17.169619951354232 0.02688207026541401 17.099017269872373 0.023888028924527765 59113.32387634544 0.3835966846963152 None None 1.047 0.821 0.4 0.702
J-c-o 2D True O94 None None 17.65892839646453 0.0504889887636241 1.0361571506844458 0.035319245254692405 17.169773369432797 0.027870320121797375 17.099297780022265 0.024863408099655697 59113.323484065346 0.392812062483526 None None 1.047 0.821 0.4 0.702
J-c-o dehvils True F19 None None 17.660688492291694 0.04951252179798393 1.024005692615666 0.036340609297577965 17.16482764761704 0.02967078368750883 17.095749486612196 0.026601781168550116 59113.21334520491 0.4036193325973652 None None 2.362 1.447 0.0 0.08
J-c-o dehvils True O94 None None 17.660915655070916 0.050679908922582825 1.0239810896715078 0.03763023957065617 17.164976692300556 0.031149617355432563 17.09602513229113 0.028042123356055867 59113.212997437484 0.4167063117425275 None None 2.363 1.447 0.0 0.08
J-c-o-ztfg-ztfr 1D3 True O94 None None 17.630057939268397 0.046550775467242254 1.0241545045802678 0.031526131214745935 17.149093073651695 0.02393649457131456 17.062152906614543 0.022703048053517187 59113.10565135077 0.35729101799981294 17.09106605795946 0.017955606216552584 0.861 0.583 0.791 0.998
J-c-o-ztfg-ztfr 2D True F19 None None 17.657788170582855 0.04753437222450763 1.027309040611062 0.03143166441004005 17.150180497307996 0.023705312518805303 17.06465075535539 0.022244095833389786 59113.071450067844 0.355931781072163 17.091101670545218 0.017211508838886155 0.675 0.557 0.983 0.999
J-c-o-ztfg-ztfr 2D True F99 None None 17.660251181994706 0.04797078219581347 1.0272518514948343 0.03161071147405844 17.154450243932274 0.023916120730726114 17.06682121583523 0.02262869722486846 59113.0714903318 0.3579300704273876 17.092410539384495 0.01777286276435314 0.675 0.557 0.983 0.999
J-c-o-ztfg-ztfr 2D True O94 None None 17.658018317035154 0.047966712126091014 1.0273041237640383 0.031609703398171186 17.150406532607526 0.023914160662689497 17.06495223358725 0.022624741508206796 59113.07110036053 0.3579164277944662 17.09109085407172 0.01776729521280752 0.674 0.557 0.983 0.999
J-c-o-ztfg-ztfr dehvils True O94 None None 17.660010530368886 0.047358133018251175 1.0224812022104968 0.03195919390563769 17.148431843840978 0.02450263884275281 17.06841977170334 0.023718351313068552 59113.06802675808 0.3617104023792072 17.08533016583121 0.01947512746660787 1.16 0.772 0.17 0.921
