bps_used variant success reddening_law calibration Tmax e_Tmax DM e_DM st e_st EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 60074.6019034542 2.2022123163778553 37.64472681162366 0.19395674525821507 1.3718587490917389 0.09534904639960173 -0.265071338860125 0.16577685395614633 0.466 0.459 0.912 0.917
c-o  True F19 6 60074.60056634108 2.2030941035585165 37.640185630670246 0.16398055444688664 1.3719340985476702 0.0953801405023265 -0.10751419934333448 0.10532670092043024 0.467 0.459 0.912 0.917
c-o-ztfg  True O94 0 60076.74014706522 0.7552466834777843 37.230392852312406 0.11615838672289121 1.2627714067150293 0.052742700376313886 0.0564492892395882 0.07804045622706915 0.549 0.538 0.969 0.973
c-o-ztfg  True F19 6 60076.73650208333 0.6916724064283695 37.2767317420538 0.10825461068608733 1.266254196970653 0.048784790452133506 0.11530619099598921 0.06811563961846163 0.582 0.57 0.955 0.96
c-o-ztfg-ztfr  True O94 0 60076.829028153195 0.5456150852748824 37.16536418728107 0.09216609427813763 1.2639816975798848 0.03694129189006309 0.08421227288125306 0.0655456280733446 0.37 0.363 1.0 1.0
c-o-ztfg-ztfr  True F19 6 60076.924486824464 0.5183629490131556 37.19189103641496 0.094532880309109 1.261103709919773 0.03607005418381521 0.153848906434779 0.0619476852344923 0.401 0.393 1.0 1.0
c-o-ztfr  True F19 6 60076.88653337548 0.6004091629033486 37.37712496568543 0.09304104913348747 1.2490980694259646 0.03687827108796225 0.0007541143244048164 0.06703483607877721 0.327 0.322 1.0 1.0
c-ztfg-ztfr  True O94 0 60076.80200693422 0.5354724572482286 37.134615838304256 0.09185333351443839 1.2724887298933951 0.03600832995958983 0.09508348444253265 0.06479783105617176 0.298 0.291 1.0 1.0
c-ztfg-ztfr  True F19 6 60076.74031354669 0.5134914733921367 37.15653162480858 0.09670341658887636 1.2727338043865846 0.035197104215116945 0.1750982537355442 0.06157213768434919 0.296 0.288 1.0 1.0
J-c-o 1D3 True F19 6 60073.0395967221 1.5335930098034 37.76027490678461 0.12313354747972605 1.4201617399951414 0.07732204495113597 -0.17957744153565264 0.08946907956886802 0.635 0.626 0.814 0.822
J-c-o-ztfg 1D3 True F19 6 60076.081061390454 0.870121294033358 37.443618069407535 0.10895285742075453 1.3033348772016953 0.05759581722651561 0.044719885223831295 0.07077536242599308 0.887 0.868 0.641 0.669
J-c-o-ztfg-ztfr 1D3 True F19 6 60076.24005328943 0.7137818157507101 37.29476733212653 0.09661077336064064 1.304071087922383 0.042794838324421894 0.11309259659681707 0.06388622015091071 0.808 0.789 0.826 0.852
J-c-o-ztfr 1D3 True F19 6 60075.96236274963 0.7772771844587911 37.53476114169298 0.09850749849456912 1.2821795000498788 0.041548931158542544 -0.10032487075537073 0.06996795298895468 0.548 0.537 0.982 0.985
J-c-ztfg-ztfr 1D3 True F19 6 60076.32603924368 0.7443485478189171 37.26490200004578 0.09879505060274965 1.3107911335962066 0.043065893068840184 0.13482116868213218 0.06385384669824846 0.718 0.701 0.904 0.92
J-o-ztfg-ztfr 1D3 True F19 6 60076.18250798137 0.6711100701199063 37.288450131280825 0.09458048129872652 1.264132010568888 0.040937232331986255 0.09915801746038182 0.06362861565669016 0.725 0.708 0.91 0.925
J-ztfg-ztfr 1D3 True F19 6 60076.081684280136 0.7649062297893741 37.27233431093086 0.09719472304980466 1.2611411148377885 0.043034976302962 0.1030227540258523 0.06442122855796546 0.781 0.76 0.818 0.845
o-ztfg-ztfr  True O94 0 60076.93118232782 0.49392859057192723 37.11952804036858 0.09213450724264012 1.2234966515216172 0.035129324606184585 0.11839513029105643 0.06371083836410728 0.29 0.284 1.0 1.0
o-ztfg-ztfr  True F19 6 60076.975998181035 0.46801326483704775 37.16740046774724 0.09250274944078915 1.2212986608700196 0.034276507991309116 0.14946448080847083 0.06150828049392927 0.299 0.293 1.0 1.0
ztfg-ztfr  True O94 0 60076.652455350064 0.45610466737271926 37.10196458915976 0.09050384937131481 1.2178988956085048 0.03325652524582642 0.1230446105289005 0.062317239613861 0.178 0.171 1.0 1.0
ztfg-ztfr  True F19 6 60076.653059324 0.4422000273312472 37.15155860485172 0.09177694705288228 1.2178590073356357 0.03283553401258459 0.15018401994962863 0.06098310046965833 0.178 0.171 1.0 1.0
