bps_used variant success reddening_law Jmax e_Jmax st e_st rmax e_rmax Vmax e_Vmax Tmax e_Tmax Bmax e_Bmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True F19 None None 2.043600451599912 0.28117711308193943 18.77702894791341 0.03764914789155285 18.645223478688486 0.1747796899475799 58977.588281154836 10.18987833268184 None None 6.762 6.713 0.0 0.0
c-o  True O94 None None 2.043951372808062 0.3500938266330677 18.777184244699075 0.04399124277449195 18.64561467776083 0.2175443114198251 58977.587382984675 12.711561923757408 None None 6.762 6.713 0.0 0.0
c-o-ztfg-ztfr  True O94 None None 2.119235646152023 0.06768967529424555 18.92619509355764 0.03358622995343914 18.514161705961026 0.06127083440564782 58979.98394949754 2.1998469862385512 18.971094210111794 0.048559221570383844 0.856 0.85 0.777 0.787
J-c-o 1D3 True F19 18.185437011948558 0.09805725661503197 1.173975155086113 0.09542339896757714 18.544837158906233 0.14152135892216297 18.5238520701044 0.176904718892485 58992.31105489492 1.7319519361482896 None None 42.151 21.721 0.0 0.0
J-c-o 1D3 True O94 18.185649497948933 0.11126599038353445 1.1739764626701015 0.10981401359400465 18.545000086288653 0.1645134610728182 18.5240730264473 0.20597280465225434 58992.31078352843 2.0094557835718847 None None 42.151 21.721 0.0 0.0
J-c-o dehvils True F19 17.563601989566433 0.16374410140714962 1.7162193965720203 0.14763455714033524 18.67280073228705 0.07912234094988342 18.61222612321111 0.1364569960900832 58977.58789595936 2.780175161717774 None None 17.241 8.674 0.0 0.0
J-c-o dehvils True O94 17.563883731624344 0.17235300092996172 1.7163379522348312 0.15937660447336222 18.67294168432529 0.08517365368450543 18.612571175840973 0.14752479864606505 58977.58808411388 2.969340884435925 None None 17.239 8.674 0.0 0.0
J-c-o-ztfg-ztfr 1D3 False O94 17.130664307381043 0.12058780396141838 2.454424767248145 0.10333630867241084 18.892147743472943 0.05339688030824019 21.599795534370056 0.11966859752548975 58962.10638477326 3.8699482307132334 18.309995966252814 0.12198322139813361 None None None None
J-c-o-ztfg-ztfr dehvils True O94 17.340349453638368 0.14015716681053786 2.2131189723924303 0.11086260935688363 18.803794657850393 0.05624408733542102 19.221546434835883 0.14079032565889865 58969.66067905016 3.199083640848455 18.61137403008218 0.14818200562964143 6.253 4.673 0.0 0.0
J-ztfg-ztfr dehvils False O94 None None None None None None None None None None None None None None None None
ztfg-ztfr  True O94 None None 2.1285257147705976 0.07196563221349007 18.949556195378705 0.03772907530973919 None None 58980.58806627032 2.345937354796336 18.892667167840024 0.0500374274186521 1.01 1.003 0.452 0.465
