bps_used variant success reddening_law Jmax e_Jmax st e_st rmax e_rmax Vmax e_Vmax Tmax e_Tmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True F19 None None 0.7915799940075923 0.05000728396994723 17.123365951738734 0.04250642933750362 17.101949865032196 0.05172566773109314 59162.59586518472 0.4935328355823878 0.94 0.922 0.529 0.551
c-o  True F99 None None 0.7914107563342931 0.04998158869537547 17.132038399844983 0.042477218886904027 17.10653200592088 0.05168461447945766 59162.595907929484 0.4931636649208217 0.938 0.92 1.0 1.0
c-o  True O94 None None 0.7915849007718218 0.04999138866277333 17.123541937297073 0.042491020190670276 17.102678139346953 0.05170570300652395 59162.59606618331 0.4934067683911408 0.939 0.921 0.53 0.552
J-c-o 1D3 True F19 17.19930202430121 0.1686159230325385 0.6464186339796208 0.0568014694810281 17.072580251715745 0.05050161478218824 16.919338172490967 0.06462715583572436 59161.888996620386 0.8731350786193419 2.93 1.922 0.0 0.012
J-c-o 1D3 True F99 17.204529696033347 0.1918273835801544 0.6462231315958383 0.06568823890693541 17.08118793534147 0.05931565644167586 16.924072211424654 0.07724556080332924 59161.88891002254 0.9406014604275696 2.925 1.919 0.0 0.013
J-c-o 1D3 True O94 17.19980153926088 0.19182451945727735 0.6464294383980698 0.06571745974030523 17.072779453704868 0.05933703661497942 16.920147077979795 0.0772585318984429 59161.889302780895 0.9408873833343175 2.929 1.921 0.0 0.012
J-c-o 2D True F19 17.517014797625773 0.14340271138836871 0.783172940364259 0.046172563359991474 17.110846217901685 0.03865200051121083 17.08037355318824 0.04606175415455622 59162.57473829897 0.8375933031616565 0.897 0.874 0.592 0.621
J-c-o dehvils True F19 17.71462452955899 0.12924612307388975 0.7808243856715893 0.046484352741608184 17.107210588725874 0.038908576861491836 17.073975826067386 0.04641728813536553 59162.53144559698 0.8401738466157308 0.922 0.893 0.559 0.596
J-c-o dehvils True O94 17.715143744302058 0.1371846123681384 0.780831722219467 0.049745252447738475 17.107414002152613 0.04207392094698133 17.07473033610005 0.05100204542765944 59162.53171135064 0.8734410311787693 0.921 0.892 0.56 0.597
