bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  False O94 0 37.185251395369605 0.0810821136187029 1.0474375505809925 0.03 58646.195150751504 0.34 None None 0 0.06 None None None None
c-o  False F19 6 None None None None None None None None None None None None None None
c-o-ztfg  True F19 6 36.87789379927805 0.141832301185639 0.5770309240359752 0.049773352438535444 58644.700444723065 0.39291671895039093 None None -0.16775342164238946 0.07531146000239208 1.511 1.394 0.086 0.134
c-o-ztfg-ztfr  False O94 0 36.81995710146853 0.12955783986796723 0.7839313068687167 0.061215722197066794 58645.21275437017 0.419681183860325 None None -0.012350519527253643 0.08637803188445906 None None None None
c-o-ztfg-ztfr  True F19 6 36.79185548774672 0.12753888890417053 0.752183209234822 0.06011200780153254 58645.148076083904 0.41343966437311375 None None -0.024627441234342767 0.07570265471893882 3.054 2.809 0.0 0.0
c-o-ztfr  False F19 6 None None None None None None None None None None None None None None
c-ztfg-ztfr  True F19 6 36.496612209507994 0.15967009845657634 0.6502563097317262 0.06462232999875 58644.8826833833 0.4247961197813531 None None 0.049721519778221056 0.08340977508544443 3.729 3.073 0.0 0.0
J-c-o 1D3 False O94 0 36.7363023519659 0.1078048326822629 0.754841188852918 0.11403387282904891 58644.98981474594 0.6069473773108713 None None 0.07732286185281516 0.19035932404928188 None None None None
J-c-o 1D3 False F19 6 None None None None None None None None None None None None None None
J-c-o-ztfg 1D3 True F19 6 36.74502265333563 0.09818124702317302 0.6071616438269811 0.049000547527696045 58644.70614912879 0.3916010967122839 None None -0.07988689827997626 0.0643370031925285 1.598 1.364 0.047 0.133
J-c-o-ztfg-ztfr 1D3 True O94 0 36.82633182856169 0.09506675660504392 0.766914943740813 0.056338373271865166 58645.15112412068 0.41245273060130366 None None -0.038630271312736345 0.08557645287978524 3.215 2.915 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 1 36.84478560131007 0.09639320628356249 0.7614257626166894 0.05721212021697217 58645.14408754684 0.41145728664083414 None None -0.04474396354116028 0.08427529520767674 3.198 2.88 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 2 36.81580603434738 0.09918582638970289 0.7514747038018187 0.060654459194852045 58645.15304365321 0.41164112637672157 None None -0.05595810184186298 0.08760587977347942 3.319 2.941 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 3 36.816780040191375 0.09537796707210262 0.7624835924054677 0.055182996125866315 58645.10101226481 0.4090390641155136 None None -0.04396807023200182 0.08157446420753071 3.0 2.724 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 4 36.82415657171537 0.0958396391130357 0.7626598044355063 0.05630549749267038 58645.118832802735 0.4101745837930307 None None -0.046675196038415696 0.08247699301750877 3.085 2.793 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 5 36.812858443965936 0.09940211867482858 0.7534554806057789 0.059999070325462714 58645.13046776212 0.4095755822024662 None None -0.05573866191474584 0.08457427752645419 3.166 2.824 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F19 6 36.79361484869022 0.09748797953111274 0.7376081733040364 0.05653532099581157 58645.06582579615 0.4081480853727211 None None -0.03902825058852933 0.06791171645128286 2.996 2.658 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F99 6 36.80217935973818 0.09925771008876028 0.7537686785311669 0.05652322067182503 58645.03760245301 0.4152053586750127 None None -0.03032238979497635 0.06985897753209595 2.83 2.572 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 6 36.796707811569796 0.09956912514550276 0.7415670512527481 0.0586412009265437 58645.05884878571 0.41639549056290154 None None -0.03701044818683551 0.06952084665249324 2.957 2.64 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 7 36.81902564841454 0.09380797079025667 0.758114644925138 0.05321529763699968 58645.08056103391 0.40928378239691143 None None -0.043536674707990004 0.06976875590130606 2.966 2.692 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 8 36.797177844205756 0.09115103373331691 0.7599565018404127 0.05215975941278555 58645.05378284351 0.4069254422381566 None None -0.03004257693322133 0.07027922591974382 2.804 2.566 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 9 36.816961763659485 0.09303681564750821 0.7616850467322702 0.05234972852115143 58645.076807635654 0.40874348273235694 None None -0.042223667674656476 0.07021952301505843 2.91 2.656 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 10 36.95111602798388 0.10076555814751641 None None 58645.26696875422 0.4752715793451555 1.1733335623899621 0.06794876199138311 0.08377179439663357 0.06873105781561595 3.915 3.719 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 11 36.96535713498397 0.10094502043816757 None None 58645.265820792585 0.47497173813762555 1.173701907523569 0.06792052558584047 0.07960283967558687 0.06847067984442223 3.902 3.708 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 12 36.98991593636759 0.10085361158814826 None None 58645.25163306414 0.4737953215713307 1.1741537224868728 0.0677994933646393 0.08113928941148299 0.06834309527752372 3.847 3.658 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 13 36.91347512179712 0.09883599862273199 None None 58645.1873265562 0.4572361372265236 1.1866483471706812 0.06697634209958682 0.06133480851551089 0.06679135984995704 3.256 3.122 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 14 36.920473342914285 0.09808961417334432 None None 58645.21514451291 0.45909835173918845 1.186979203138218 0.06725609621188708 0.06141062598755036 0.06759289547518786 3.36 3.218 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 15 36.97030170791244 0.09933658554302546 None None 58645.185972015126 0.45711138974482535 1.1873420909382761 0.06705651281351521 0.05817389298699144 0.06650393836337443 3.26 3.126 0.0 0.0
J-c-o-ztfr 1D3 True F19 6 36.82628067837466 0.09229382120981248 0.8514664369004326 0.05558676303030138 58645.33837171231 0.4756489118973664 None None 0.021777662926984874 0.08274132897983222 1.199 1.143 0.264 0.311
J-c-ztfg-ztfr 1D3 True F19 6 36.76148253809481 0.10757464764393106 0.6985536134906364 0.06633402734422081 58644.969031846 0.4360963620494453 None None -0.05894045633559866 0.07163059479798153 4.785 3.862 0.0 0.0
J-o-ztfg-ztfr 1D3 True F19 6 36.77869255519112 0.08568088744529075 0.8415501192235871 0.039694412042476014 58644.8965572269 0.37726293063477795 None None 0.06302242489896853 0.06267162254303449 0.843 0.822 0.702 0.733
J-o-ztfr 1D3 True O94 0 36.77452610615166 0.09645846659779289 0.8655098213708002 0.05775178271151704 58645.20550520441 0.5914990014428209 None None 0.09543764480279429 0.09399092773756838 1.095 1.041 0.356 0.408
J-ztfg-ztfr 1D3 True O94 0 36.715944112766046 0.08858311512926609 0.8406686700878884 0.03903576559432106 58644.80780442188 0.3757235963211074 None None 0.11453345892132315 0.06500571457228864 0.695 0.666 0.856 0.882
J-ztfg-ztfr 1D3 True F19 6 36.752264278783024 0.0855407823046331 0.8388770542975129 0.03832267810067344 58644.81077684538 0.37219372905860937 None None 0.07373864913558546 0.062280481100277556 0.68 0.653 0.87 0.894
o-ztfg-ztfr  True F19 6 36.76402336534017 0.09528667784098391 0.8457494283566535 0.040244590751579684 58644.94395030848 0.3779361619457486 None None 0.07100052707189043 0.06507076400877045 0.829 0.823 0.707 0.716
ztfg-ztfr  True O94 0 36.53722062703086 0.10163012825711391 0.8179931251691829 0.036106937084971175 58644.85787373356 0.3588363268411094 None None 0.17401377640596055 0.0640968164247749 0.358 0.355 0.996 0.996
ztfg-ztfr  True F19 6 36.586519626480346 0.09745331829183396 0.8179922396179632 0.03559484398690183 58644.857896814574 0.3571640563304882 None None 0.1451271420181257 0.0631241199478172 0.358 0.355 0.996 0.996
