bps_used variant success reddening_law Jmax e_Jmax st e_st rmax e_rmax Vmax e_Vmax Tmax e_Tmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True F19 None None 1.0612911685419923 0.05498643994255146 16.797819291150976 0.05750490456640266 16.64271149518339 0.04106282962267205 59244.502931270436 1.3125056730428049 0.794 0.737 0.635 0.69
c-o  True F99 None None 1.0612075709644544 0.05493427713634426 16.802917840725176 0.057490705793761095 16.64535437900124 0.04104941003182935 59244.5044023945 1.3117974271754067 0.794 0.737 1.0 1.0
c-o  True O94 None None 1.0613494061851825 0.05500844159807296 16.798075287327638 0.057503385339190395 16.643089574892908 0.04106112766867108 59244.502493850916 1.312717689309872 0.794 0.737 0.635 0.69
J-c-o 1D3 True F19 17.297323413893086 0.04921386209229834 1.0583427957852678 0.04353887145676484 16.79822083910903 0.03748812085337112 16.65310643797458 0.035059081098164836 59244.57363414007 0.4978862000169199 1.409 0.891 0.146 0.562
J-c-o 1D3 True O94 17.297600096095834 0.05107783659956983 1.0583934224455807 0.047739509131378706 16.798486307523067 0.041949641172335975 16.653504056037033 0.03953890687196364 59244.57369025799 0.5466097750968372 1.41 0.891 0.145 0.562
J-c-o 2D True F19 17.29473446997982 0.05055448304707186 1.0517687617236082 0.04134645373580352 16.79310700298458 0.034750918333985 16.6416645557632 0.03245935306241767 59244.57510014175 0.5056030519220266 0.801 0.701 0.66 0.764
J-c-o 2D True F99 17.29766380664184 0.05285699486309245 1.0517017177237356 0.04494132846141359 16.798189667493247 0.03854140924760706 16.644264898180722 0.036322807618124266 59244.57560033355 0.556219731575959 0.8 0.701 0.66 0.765
J-c-o 2D True O94 17.29500970615732 0.052859505963562814 1.051817116975726 0.04496001976694854 16.793367930945806 0.03854887539027552 16.642057831409524 0.03633469608970843 59244.57504911769 0.5563388550573263 0.801 0.701 0.66 0.764
J-c-o dehvils True F19 17.424355714026024 0.10652925849176312 1.0543820481244255 0.04224667945221266 16.801545747798226 0.03475967715155451 16.66329799638733 0.03219325232730215 59244.83788032974 0.8930845596723087 0.856 0.774 0.584 0.667
J-c-o dehvils True O94 17.424696233171186 0.11541235258639009 1.0544154871863203 0.04676473663918754 16.80180475433599 0.039206016983356795 16.66369119258947 0.03664999687879906 59244.83805758011 0.9631483278835404 0.856 0.773 0.584 0.667
