bps_used variant success reddening_law gmax e_gmax Jmax e_Jmax st e_st rmax e_rmax Tmax e_Tmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 19.12055640471353 0.2726131111319706 None None 0.8373009301803804 0.17336554429598033 19.509829783941214 0.10597329491619106 58624.974388954346 2.333927425856027 0.539 0.539 0.952 0.952
J-c-o 1D3 True O94 19.349587713123757 0.2294929265207103 19.469495875519936 0.18515120501649757 0.8781381443530678 0.1741667865398065 19.549929542724236 0.10406330401532081 58627.423375919345 2.6099121808451127 1.008 0.962 0.45 0.511
