bps_used variant success reddening_law gmax e_gmax st e_st rmax e_rmax Ymax e_Ymax Tmax e_Tmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  False O94 19.258037205715713 0.014 2.0888781661248803 0.03 19.619224310289052 0.022 None None 59114.337708260275 0.34 None None None None
J-c-o 1D3 True O94 18.658277426440154 0.10886593515126083 1.1891080180954476 0.18745001414685997 18.982340658989077 0.10377972663550289 19.041136097930604 0.09062959335091647 59115.54151775998 1.0822381076476077 0.972 0.954 0.456 0.47
