bps_used variant success reddening_law calibration Tmax e_Tmax DM e_DM st e_st EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 58987.57198429822 0.6718837798310828 37.63164718784805 0.23572608096488926 0.4835478662573731 0.06304295189692524 -0.06778329813479102 0.09993764900366263 0.49 0.489 0.947 0.948
c-o  True F19 6 58988.45626165659 1.0441286436580328 38.45817342885244 0.19658791261217318 1.0127133453227362 0.09530467916595184 0.014358488277386427 0.11355700784157743 0.451 0.45 0.987 0.987
c-o-ztfg-ztfr  True O94 0 58988.990305443054 0.43529537401699414 38.410909859861775 0.10420349804586188 0.9292415390569161 0.04690367883005997 0.07584798314242344 0.06973808662640767 0.625 0.623 0.989 0.99
J-c-o 1D3 True O94 0 58989.80090677109 0.8699453635142387 37.573549525497064 0.11647125478502061 0.39079434608496855 0.0533574374029491 -0.17102224425061177 0.12330480233356322 5.067 3.635 0.0 0.0
J-c-o 1D3 True F19 6 58989.15594616849 0.9970046992671096 37.21382451724592 0.1532726449094799 0.36248581961071363 0.06106774031749969 0.3915180007756524 0.08870582639928508 5.906 4.223 0.0 0.0
J-c-o dehvils True O94 0 58990.798672779856 1.9503254800904828 37.91515611205301 0.2332145863955911 1.0954321220231487 0.18201489437581234 0.4235062691934811 0.13339826188324458 3.302 3.169 0.0 0.0
J-c-o dehvils True F19 6 58990.99218859076 1.6015378681975798 37.923457867112056 0.17114717095087745 1.0027242062253066 0.16496931618254143 0.37018258035306134 0.16142043973485895 3.386 3.281 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 0 58973.65435455135 2.449853570014639 37.625843794801106 0.2454807083077431 1.8288924305512853 0.09934223550302511 0.29788254427133865 0.3134413944088427 9.306 6.058 0.0 0.0
J-c-o-ztfg-ztfr dehvils True O94 0 58989.215534233306 0.6794267610387948 38.13894625435575 0.14393339711080214 0.975153036930761 0.08122324397642944 0.253349641775724 0.08099871257378242 2.52 2.475 0.0 0.0
J-ztfg-ztfr 1D3 True O94 0 58970.357219375306 2.9524947386517986 39.15635420494653 0.511464902579557 2.197102716730308 0.07728224276214604 -2.0085553559675975 0.3492878754639847 5.549 4.086 0.0 0.0
J-ztfg-ztfr dehvils True O94 0 58989.33531351038 0.847900829747347 38.08439736575432 0.17123040599244155 0.9820719635253552 0.1083507186859494 0.3012088631292206 0.09125061192512346 3.639 3.566 0.0 0.0
ztfg-ztfr  True O94 0 58989.178729440995 0.4388570780583688 38.45255357654607 0.10612409113208635 0.9358623088822223 0.04933472527659188 0.0646935140921376 0.07056631749518698 0.624 0.621 0.955 0.956
