bps_used variant success reddening_law gmax e_gmax Jmax e_Jmax st e_st rmax e_rmax Vmax e_Vmax Tmax e_Tmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True F19 None None None None 0.8395846379542226 0.03618523730442454 15.71859483017785 0.029662278323414164 15.740002054205542 0.045367636862562455 59252.33042282176 0.3991034924824326 3.412 2.593 0.0 0.001
c-o  True F99 None None None None 0.839414127149141 0.03618054876968236 15.723373659627478 0.02965661214638639 15.74244186212151 0.04536310765127215 59252.330625419854 0.3990208621602424 3.409 2.592 0.0 0.0
c-o  True O94 None None None None 0.8396068141310712 0.036181649327567594 15.718764484038944 0.029657508441220677 15.740309884299238 0.04536480476662419 59252.33002329619 0.3990811602872707 3.41 2.592 0.0 0.001
c-o-ztfg  True F19 15.680495704840762 0.021627166655676218 None None 0.7995400738218769 0.032104376838704644 15.708183017134516 0.02609438903976634 15.710542342882492 0.04228524363814264 59252.20923135438 0.36362624410395045 3.104 2.436 0.0 0.0
c-o-ztfg-ztfr  True F19 15.700904481347063 0.020999795133043234 None None 0.8191296779965541 0.031398971086396915 15.694347568984329 0.0236622267323579 15.708776421476594 0.041915174095477015 59252.250264582 0.3561279660086492 2.814 2.307 0.0 0.0
c-o-ztfg-ztfr  True O94 15.700870344100247 0.024701854571986093 None None 0.8191838098462443 0.03233002030807093 15.694591752867822 0.024744846625787662 15.709030219649717 0.043897259220923954 59252.24921321045 0.366867197525534 2.811 2.304 0.0 0.0
c-o-ztfr  True F19 None None None None 0.8557327437092629 0.0320919879612058 15.703564254996673 0.02390351175632084 15.742449842120871 0.04233744230041863 59252.32155315482 0.3626135101439712 2.483 1.927 0.0 0.001
c-ztfg-ztfr  True F19 15.69320451301385 0.017564143980911318 None None 0.8510451984432968 0.031130393111054786 15.658176668555932 0.023320782089281837 15.649352873436719 0.04072114973760461 59251.41029616984 0.367315326650553 1.282 1.045 0.099 0.391
J 2D True O94 None None 16.05822652450243 0.054455947323934814 0.8630581970182606 0.10856173362620625 None None None None 59250.70283533818 1.1329579527913918 3.552 0.8 0.029 0.449
J-asg-c-o-ztfg-ztfr 2D True F19 15.723762626771911 0.02146009406778282 16.110161307503503 0.053174569702506495 0.8221845568815633 0.03211614643133391 15.67875177625651 0.024627324024585753 15.64663319793795 0.04384701924493859 59251.87644542025 0.36545067289311084 3.981 3.352 0.0 0.0
J-c-o 1D3 True F19 None None 16.058369011246025 0.05435821476878229 0.8305582749366943 0.0365271903989409 15.710186500964499 0.030256107490670918 15.714504879080277 0.045806068560074166 59252.11745642885 0.3983162310964376 7.342 2.896 0.0 0.0
