bps_used variant success reddening_law gmax e_gmax Jmax e_Jmax st e_st rmax e_rmax Tmax e_Tmax Bmax e_Bmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True F19 18.82941157836267 0.05142484128144517 None None 0.8722796696892838 0.08324753154699828 19.038616287611006 0.06488328598080784 58993.58774186 0.6377704449527541 None None 0.309 0.309 0.998 0.998
c-o  True O94 18.83016715450944 0.056461324061600295 None None 0.8723256725786209 0.0909266097216725 19.038992274390957 0.07096815507966375 58993.58675176294 0.6866592643119996 None None 0.309 0.309 0.998 0.998
c-o-ztfg-ztfr  True O94 18.802010696653078 0.06758101883019937 None None 0.965123731975292 0.06964743471042635 19.440453278310738 0.04735921308060194 58993.25562948534 0.6691997298989171 19.26138676294424 0.13022661936890326 0.649 0.647 0.946 0.947
J-c-o 1D3 True F19 18.842991176126265 0.05851589525725781 19.635726883889348 0.06435960434524265 0.9032946486237395 0.046838790122665 19.047154576595485 0.06733292149609273 58993.09479127793 0.6453993710622604 None None 0.498 0.466 0.985 0.99
J-c-o 1D3 True O94 18.8437160778741 0.06160401941311626 19.63631227060169 0.06630018779283431 0.9032439019781412 0.04839180908983181 19.047486168549053 0.07070088897624745 58993.094682226896 0.6716366508276508 None None 0.497 0.466 0.985 0.99
J-c-o dehvils True F19 18.858552528326232 0.050696830804154505 19.44447437549219 0.07797414428958724 0.9678478057084096 0.05432768897234866 19.09383836679721 0.06300701302555659 58992.69750058826 0.6576207397144929 None None 0.358 0.353 0.999 0.999
J-c-o dehvils True O94 18.85925379513901 0.05331240828984732 19.445019648522155 0.08096780477158957 0.9677155366261295 0.056429010462940736 19.094123058370645 0.06609026508641631 58992.69724436946 0.6846314363801977 None None 0.358 0.353 0.999 0.999
J-c-o-ztfg-ztfr 1D3 True O94 18.762886861692753 0.06440668982636542 19.441828659328593 0.06400443417188188 0.9212468820242955 0.044206286647791006 19.42727431528854 0.04005151483795598 58993.20626096025 0.5723851229273782 19.22089445033582 0.11717135366949845 0.591 0.573 0.984 0.988
J-c-o-ztfg-ztfr dehvils True O94 18.772248434221524 0.061201286718035056 19.299279889939132 0.08343839507149374 0.9704117482903848 0.052045109560006735 19.476697952739364 0.04114297659896997 58993.0144865202 0.6048659146348385 19.254180200111104 0.11707042882104592 0.541 0.537 0.993 0.994
J-ztfg-ztfr 1D3 True O94 None None 19.63125087556324 0.06265918875598699 0.9196507960884006 0.04291220180835713 19.14254558579597 0.03973567816735891 58992.85588004739 0.5957435912964539 19.168758760923545 0.11056812714808961 0.475 0.438 0.979 0.988
J-ztfg-ztfr dehvils True O94 None None 19.439996562158367 0.06759673057403374 0.9665476942981782 0.04310415326743366 19.166786264186566 0.03437323602586607 58992.5280066267 0.5466889303343059 19.18942223199083 0.09621974162548165 0.273 0.268 1.0 1.0
ztfg-ztfr  True O94 None None None None 0.9325162156145271 0.0474876581097279 19.150017589552007 0.03403907788669734 58993.02305932945 0.5329093582604679 19.19062065086055 0.09753824080282508 0.249 0.248 0.998 0.998
