bps_used variant success reddening_law gmax e_gmax st e_st rmax e_rmax Ymax e_Ymax Tmax e_Tmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 18.73411630212664 0.6944257543639663 1.196671269909676 0.4573908172558121 19.116795889384946 0.12142185147299865 None None 59271.4121270315 1.7724422930233232 0.543 0.542 0.86 0.862
J-c-o 1D3 True O94 19.086532849482758 0.48695906775998477 1.5515765043643208 0.47122119641856475 19.108776710431478 0.15843412290152326 19.638505778044273 0.19583714945498923 59270.3561130596 6.243940263251908 0.584 0.583 0.828 0.83
