bps_used variant success reddening_law gmax e_gmax st e_st rmax e_rmax Vmax e_Vmax Tmax e_Tmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o-ztfg  False O94 None None None None None None None None None None None None None None
c-o-ztfg-ztfr  False O94 None None None None None None None None None None None None None None
c-o-ztfr  True O94 None None 0.957627035485153 0.03134025276222934 16.784244659676204 0.024963364294311806 16.78289140991964 0.020924492379422434 60058.23196574158 0.3544744013993028 0.729 0.673 0.917 0.958
c-ztfg-ztfr  True O94 16.70232781295224 0.016707332981433277 0.9282872975385882 0.03061909906222488 16.742989824858235 0.02363866589357501 16.84967269946644 0.01994328770899285 60058.4364922817 0.34480537922307375 0.378 0.331 1.0 1.0
o-ztfg  True O94 16.694083665118008 0.01763070310089971 0.9410127123260054 0.031430006192495544 16.796802801126262 0.026377586099490206 None None 60058.3426342589 0.359511993448779 0.386 0.358 1.0 1.0
o-ztfg-ztfr  False O94 None None None None None None None None None None None None None None
o-ztfr  True O94 None None 0.9567575333436316 0.0321218486746783 16.784076885548952 0.024902394684082625 None None 60058.382949280785 0.3828387769789855 0.615 0.569 0.964 0.981
ztfg-ztfr  True O94 16.689650127523308 0.016131335548388557 0.942559181078705 0.030707758501343156 16.75741464890351 0.023273465070252547 None None 60058.4472044069 0.3479998903376101 0.249 0.217 1.0 1.0
