bps_used variant success reddening_law gmax e_gmax Jmax e_Jmax st e_st rmax e_rmax Vmax e_Vmax Tmax e_Tmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True F19 None None None None 1.0724348570224411 0.048013846223422064 15.836026209360572 0.02993615932964277 15.790849411077224 0.05360686787077936 59345.17928427062 0.5451038519679463 3.977 3.352 0.0 0.0
c-o  True O94 None None None None 1.0724582738151287 0.04800649675234109 15.836889515882017 0.029928470761719044 15.792758942135775 0.053598312399509754 59345.17618142855 0.5450545334100115 3.972 3.348 0.0 0.0
c-o-ztfg  True F19 15.830128823836327 0.02358797476667873 None None 1.044410382534792 0.03562391110343379 15.752502990580096 0.025935647445184645 15.670108612739105 0.048576507012778346 59345.04311888892 0.38918476714674155 2.953 2.465 0.0 0.0
c-o-ztfg-ztfr  True F19 15.827633474257048 0.0218486853060611 None None 1.0396721796725406 0.03322321513917126 15.762024562158091 0.024581829883392824 15.666012443865096 0.04708526702427797 59345.07976972983 0.3761000128101193 2.419 2.031 0.0 0.0
c-o-ztfg-ztfr  True O94 15.82770823015815 0.023455058857156524 None None 1.0397813911370881 0.03401280925951844 15.763578245878954 0.02520775897089955 15.66834138096548 0.04855044252404505 59345.07894140854 0.3849174300118386 2.423 2.034 0.0 0.0
c-o-ztfr  True F19 None None None None 1.0711195075025635 0.03627891506643579 15.832010394816256 0.024968822130873303 15.786214713525625 0.04700945804338855 59345.09178255693 0.42036990519875056 2.191 1.824 0.0 0.0
c-ztfg-ztfr  True F19 15.832153316465154 0.01762128112406405 None None 1.043296184356455 0.03199776183244716 15.794308134525716 0.02479806958442701 15.618817145121582 0.04278684873372985 59345.01633042359 0.36059684103482287 0.915 0.74 0.654 0.925
J-c-o-ztfg-ztfr 1D3 True F19 15.825575833488825 0.021093115738534046 15.985499791007248 0.051979340561662375 1.0299975654821432 0.031996294731273626 15.775723250709923 0.024118455338348083 15.662977830853341 0.0464750110712282 59345.24532258116 0.36316993999136327 2.245 1.84 0.0 0.0
o-ztfg-ztfr  True F19 15.846925999139936 0.01918261559696926 None None 1.068792921204724 0.033507431329105726 15.839262154787708 0.024017051475030655 None None 59345.077016834504 0.3648819197634239 1.51 1.253 0.004 0.077
ztfg-ztfr  True F19 15.846483340413757 0.016292385836342356 None None 1.078760870837657 0.03270575876484831 15.833002196877372 0.024273904632103813 None None 59344.99749842257 0.35312304951437107 0.57 0.444 0.993 1.0
ztfg-ztfr  True O94 15.846343054417181 0.01688752956352118 None None 1.0788860496574004 0.033442078668716825 15.834958393277445 0.024884353176235458 None None 59344.99564769456 0.3567820801607452 0.57 0.443 0.993 1.0
