bps_used variant success reddening_law gmax e_gmax Jmax e_Jmax st e_st rmax e_rmax Vmax e_Vmax Tmax e_Tmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True F19 None None None None 1.243284932991936 0.04445686901750207 16.61550738771745 0.02809653856603898 16.685454807385334 0.06964562743650045 58525.30483800979 0.685123679894428 0.92 0.838 0.499 0.569
c-o  True O94 None None None None 1.2433560698292443 0.04446155469603735 16.615698591353322 0.028097321031511566 16.685900925617595 0.06964126539263306 58525.30355129434 0.6853449352098125 0.92 0.838 0.499 0.569
c-o-ztfg  True F19 16.57540550202814 0.025247542274641866 None None 1.305631230424969 0.037229598575204276 16.655523734046415 0.025494509480989115 16.79994289609044 0.04711665118497995 58525.61478063779 0.5229282412689881 3.26 2.538 0.0 0.001
c-o-ztfg-ztfr  True F19 16.56604062828346 0.02555489326377005 None None 1.2850616987852115 0.0361685429355762 16.649204427219157 0.025551393004495337 16.766547359613206 0.04767122679699966 58525.74588995799 0.5599570519537518 2.482 1.89 0.0 0.007
c-o-ztfg-ztfr  True O94 16.56592526561573 0.03073549635410363 None None 1.284991368917754 0.03960692450713171 16.649309933382877 0.02757924557745886 16.766778993830314 0.05909456710202392 58525.744630635556 0.6465327320615627 0.964 0.846 0.507 0.67
c-o-ztfr  True F19 None None None None 1.2397088534751641 0.03521783027082144 16.611621867170633 0.024766649762781225 16.683573194481074 0.04604455485393087 58525.35995386943 0.5547982687470941 1.061 0.814 0.388 0.672
c-ztfg-ztfr  True F19 16.576142363679324 0.024139045613478856 None None 1.3420455822074857 0.046001396106173396 16.752072028321567 0.04341310013745189 16.88434536722579 0.05316644959527723 58525.08548110153 0.7439750054699401 0.749 0.608 0.691 0.824
J-asg-c-o-ztfg-ztfr 1D3 True F19 16.562708371001357 0.02452046624218827 17.027410654792277 0.17984022487148021 1.2361687808168906 0.036184233622337414 16.578851613870068 0.027573004890967208 16.580241258366616 0.05030570673367992 58526.067287795304 0.4990856456846504 1.588 1.373 0.01 0.056
J-c-o 1D3 False O94 None None 16.89286763099444 0.11977518386470395 1.1542838723263686 0.05062576728811066 16.576471514855818 0.025417371275210394 16.53910049522517 0.046283350410722825 58526.451488777886 0.4640199540504962 None None None None
J-c-o-ztfg-ztfr 1D3 True F19 16.549594263835598 0.025255576043809784 17.066670742320134 0.1379497956405361 1.2515958574532753 0.03574943343329049 16.62071516518579 0.025468107673044308 16.737570879485588 0.04916986605406454 58525.86929373477 0.5406100765391837 1.153 0.818 0.277 0.712
J-c-o-ztfg-ztfr 1D3 False F99 16.551187170602397 0.025245425533638333 17.06974820035991 0.13789093674104086 1.2516572821924978 0.03574304485392405 16.625783311918767 0.02546403203547633 16.73981103377445 0.04913943382553365 58525.86926093326 0.5404506098085962 None None None None
J-c-o-ztfg-ztfr 1D3 False O94 16.549547544510816 0.025256943420529827 17.066773950672516 0.13794684875890337 1.2515660730533535 0.03575078083501371 16.62094938490704 0.02546809900900864 16.73807976968486 0.04916768263645588 58525.86751295091 0.5407022978641798 None None None None
J-ztfg-ztfr 1D3 True O94 16.527342004966876 0.03235583797364076 16.94570366410063 0.15977552213466428 1.238409870023254 0.052247036185216415 16.57695435958478 0.05285570881128412 None None 58524.51179172974 1.0745171352207517 0.722 0.579 0.719 0.847
o-ztfg-ztfr  True F19 16.5351847446455 0.022766350514013205 None None 1.230342734888656 0.034499510255383364 16.60577762247149 0.024517871294687552 None None 58525.31385105038 0.519707408299725 1.084 0.843 0.355 0.673
ztfg-ztfr  True F19 16.55244634972991 0.02583084117449277 None None 1.280064126605334 0.06497956935857224 16.662794359117303 0.0525622286072743 None None 58525.006670763025 0.8132439968003478 0.797 0.527 0.643 0.886
ztfg-ztfr  True O94 16.552380237353656 0.03156730632537183 None None 1.2800107890877404 0.0770363824455255 16.663031863998523 0.06599579685703574 None None 58525.00631933384 1.00113520986695 0.602 0.525 0.814 0.874
