bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 59818.86813024279 1.822411165607256 7.147185150038524 0.2455835114124793 1.371482625393383 2.2860222885884807 -2.0434201869572055 2.03641352947277 0.724 0.72 0.67 0.674
c-o  True F19 59816.46833417446 0.3713728836680217 8.143993378818429 0.11028789320769099 -1.949343903930258 0.5588576419495697 0.2690283500882725 0.08263754592598303 1.687 1.528 0.007 0.024
c-o  True F99 59816.45436057553 0.3550288337354378 8.04554161979673 0.10735564826888869 -1.9451705216666109 0.5425287546467046 0.2429262188471748 0.08000786565432981 1.516 1.507 0.026 0.028
c-o-ztfg  True F19 59815.807783491444 0.2889821935130022 8.069246828198684 0.06080167158703877 -2.5553762361608032 0.4865192612666452 0.2240489761834958 0.05186641504156302 1.866 1.673 0.001 0.004
c-o-ztfg  True F99 59815.82420108455 0.27797986066121066 7.969964899128056 0.05934019141903416 -2.53288303210076 0.4713814199223117 0.1971466006491651 0.0500211992861494 1.623 1.608 0.007 0.007
c-o-ztfg-ztfr  True F19 59815.97609812233 0.2614759640682601 7.982282230624014 0.060164765793168436 -2.3833125394216927 0.4640116916042615 0.23487568903631556 0.04772718507527754 1.654 1.488 0.003 0.017
c-o-ztfg-ztfr  True F99 59816.00877022151 0.24986165843395217 7.986789464500629 0.05891940593415548 -2.3089846240481275 0.4519028002934289 0.23328589740794456 0.046163175841809 1.681 1.652 0.003 0.004
c-o-ztfr  True F19 59816.525108846196 0.31400402978433056 8.156353380957245 0.10696597609053266 -1.8597382761370371 0.5187050868174897 0.3070148432284877 0.07790835482107729 1.721 1.535 0.003 0.016
c-o-ztfr  True F99 59816.51694620402 0.297711195822298 8.057271031322792 0.10396488408529592 -1.8410100509085998 0.5020886442608932 0.2802908301041062 0.07542315039830944 1.522 1.489 0.018 0.024
c-ztfg  True F99 59815.77304139496 0.354015627508716 7.947430461851464 0.0902133700585133 -2.3641182709340005 0.6632070170614011 0.11775498045522505 0.1625169126898284 1.615 1.601 0.067 0.071
c-ztfg-ztfr  True F19 59816.03526906419 0.3082304054370026 8.136986436662898 0.0716424785602001 -2.19875539080213 0.6043801997299736 0.33743268871912124 0.06752271772486987 2.04 1.845 0.005 0.014
c-ztfg-ztfr  True F99 59816.082998516955 0.2967493682059584 8.039194903726425 0.06994879263826752 -2.1462092161028474 0.5892452598401352 0.3115331056515888 0.0648102162559771 1.55 1.521 0.059 0.068
c-ztfr  True F99 59816.92427600311 0.38083823957084445 8.256787438396797 0.14318107322542342 -1.3809043812933586 0.7200777167708432 0.4884580564610508 0.11534726132355898 0.528 0.524 0.909 0.911
J-c-o 1D3 True F99 59816.50972803369 0.341782815417039 8.131114832992505 0.10645940684581072 -1.8581750931455265 0.5404204670864154 0.3155688092109068 0.07574723231709418 1.574 1.555 0.014 0.017
J-c-o-ztfg-ztfr 1D3 True F19 59816.05869482308 0.25971664141281053 8.11437753902878 0.06064034336680747 -2.2592811866133617 0.4681304621836695 0.289559402243094 0.046707281006734075 2.017 1.802 0.0 0.001
J-c-o-ztfg-ztfr 1D3 True F99 59816.058614074755 0.2597522971819751 8.114383981941485 0.06064701063628408 -2.2593938146161383 0.4681732015052815 0.28957663286001534 0.046717944733362785 1.995 1.783 0.0 0.001
J-c-o-ztfg-ztfr 1D3 True O94 59816.05907917328 0.2597033178152956 8.012846563095527 0.060593281378538554 -2.259700802238071 0.46819052991522475 0.26480580753351 0.04667254474069775 1.776 1.595 0.001 0.005
J-o-ztfr 1D3 True F99 59816.426654372335 0.35126205101479285 8.113368309521178 0.2608507781841884 -1.955745931859286 0.6341477305873322 0.3291508426181833 0.17117695500129104 1.931 1.874 0.002 0.003
J-ztfg-ztfr 1D3 True F99 59815.84815343963 0.37889932600139875 7.992807144832586 0.08003926164926636 -2.5675147093700814 0.8953845637486221 0.3089566979647659 0.06114173563121552 2.332 2.292 0.013 0.014
o  True F99 59813.55395731413 0.6124772717444877 -9.257414467986308 5.974689293206025 -4.180144429120704 0.7053391190636557 -14.515540161611248 5.727624319433784 1.645 1.386 0.024 0.099
o-ztfg  True F99 59815.29993140714 0.29082342829203495 7.911263978227494 0.06609311964500407 -3.2853159853988054 0.5629337783994157 0.17150542616965408 0.05104581371013908 1.744 1.722 0.007 0.008
o-ztfg-ztfr  True F19 59815.57925743739 0.2947023531672625 8.020847269376022 0.06700334660145325 -2.9675042854272515 0.5580473826004664 0.22581193717089154 0.04987726932875008 2.111 1.802 0.0 0.003
o-ztfg-ztfr  True F99 59815.65488825824 0.27753882720079953 7.922784137745045 0.06530458694135774 -2.855496132270081 0.5323225914161068 0.19915286678167549 0.048093080843756415 1.841 1.808 0.002 0.002
o-ztfr  True F99 59816.22139152787 0.36482830848874814 6.020098193633087 0.9709254685154586 -2.0506769916739485 0.6842626960702534 -1.1511215675307431 0.7165686621671911 1.569 1.556 0.028 0.031
ztfg  True F99 59815.39804958259 0.4989143964165882 7.8996713916362795 0.7053298222687304 -3.2788415509451165 1.0580848414816095 -2.9459763075206844 2.3584541960830148 1.028 1.017 0.358 0.362
ztfg-ztfr  True F19 59815.4246946162 0.37344609077200897 8.040893812051115 0.08154440979579082 -3.2274281485612057 0.8897183266966221 0.2855058087702161 0.06997459052814871 3.253 2.674 0.002 0.009
ztfg-ztfr  True F99 59815.59311208775 0.37110532426760146 7.951438272272963 0.0801294328165109 -2.9528096279290033 0.8671267416342783 0.26410961947272205 0.06661993431141852 2.313 2.269 0.023 0.026
