bps_used variant success reddening_law gmax e_gmax Jmax e_Jmax st e_st rmax e_rmax Vmax e_Vmax Tmax e_Tmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True F19 None None None None 1.0560046129201728 0.03959026393672049 16.465557799981134 0.02661794764774932 16.380168617507405 0.027684163073694246 59523.12678071065 0.40696079039744465 1.331 1.252 0.162 0.214
c-o  True O94 None None None None 1.0559737152268882 0.0396050224142246 16.466083036063925 0.026626300994043738 16.380935307610027 0.02769724868724442 59523.12572853944 0.4070877554469742 1.333 1.254 0.161 0.212
c-o-ztfg  True F19 16.26284251551873 0.018772088855985327 None None 1.1497957850632434 0.04266256230812713 16.463725514348315 0.024845263558404634 16.403264295457454 0.02387846481924761 59523.34672167268 0.37641801820477033 1.194 1.105 0.227 0.324
c-o-ztfg-ztfr  True F19 16.25960503133171 0.02023545186525083 None None 1.1001893873826276 0.03877071886568185 16.450793683518917 0.024662195623453422 16.415614944496227 0.025678347393187844 59523.193343721534 0.3792446350221088 1.545 1.417 0.019 0.05
c-o-ztfg-ztfr  True O94 16.25944063500665 0.021093056901429163 None None 1.0999047203097163 0.040019894340944405 16.45141902761163 0.02507744430025966 16.416318006367668 0.026628613402819495 59523.191433760505 0.38534942507869385 1.544 1.416 0.02 0.05
c-o-ztfr  True F19 None None None None 1.0373236777613877 0.035027183694600623 16.441966799459117 0.024405900007828274 16.37374451580302 0.026240894574516723 59523.052716216545 0.38078165957572974 1.397 1.318 0.082 0.125
c-ztfg-ztfr  True F19 16.24629412191617 0.01805212022001195 None None 1.030929073749809 0.03408526869207232 16.41614103954908 0.0248412358718789 16.420457160919145 0.023829681321890294 59523.174724589175 0.3636739370811968 0.806 0.735 0.696 0.778
J-asg-c-o-ztfg-ztfr 1D3 True F19 16.263575134399073 0.020475620096054598 16.949074061837386 0.07344995814606912 1.0601589924389485 0.03667214724100969 16.431253780251215 0.025125092210825248 16.35573997143067 0.027342667293874072 59523.437090354426 0.3747843515727831 1.798 1.714 0.0 0.001
J-c-o 1D3 True O94 None None 16.950053090219395 0.06607772439035343 1.0480579416694364 0.0374283578490347 16.458482627842844 0.025955269225793578 16.371572212542837 0.026299135135767444 59523.122392640864 0.395863959192031 1.164 1.098 0.275 0.342
J-c-o-ztfg-ztfr 1D3 True F19 16.2562674313952 0.019211795905265103 16.970822418486744 0.06387352517077644 1.0776664731996135 0.035278097119800886 16.445612921962635 0.024069211262365102 16.418958815137398 0.024491363297495534 59523.17995377884 0.36814012011344194 1.208 1.119 0.175 0.28
J-c-o-ztfg-ztfr 1D3 True F99 16.260010463588937 0.01989286315253571 16.978044442929143 0.06641282171825426 1.0779289872235815 0.036033610277396086 16.457874277917615 0.024371954407683735 16.425003103290585 0.025228622546260116 59523.18106258035 0.37229672746749803 1.208 1.12 0.175 0.28
J-c-o-ztfg-ztfr 1D3 True O94 16.256092540561614 0.019889069436949344 16.971338083233377 0.06638264699492007 1.0774090671528744 0.03600584033321868 16.446248835702693 0.02437016087388815 16.41963115825495 0.025227538552330134 59523.17796196361 0.37224403886669355 1.207 1.118 0.176 0.282
J-ztfg-ztfr 1D3 True O94 16.244151235654254 0.016059285636170727 16.93272194712836 0.051146686753074835 1.0107700538038658 0.032599078178715574 16.407149385763137 0.023368266785886254 None None 59523.142596484686 0.3569775718259214 0.327 0.31 0.997 0.998
o-ztfg-ztfr  True F19 16.25014021092222 0.01927697360038069 None None 1.0258807519896764 0.035353570473804094 16.44100535434638 0.024126985671336285 None None 59523.051030596725 0.3824604549454003 1.168 1.101 0.231 0.314
ztfg-ztfr  True F19 16.244508982565737 0.016158526272041188 None None 1.0104142761584411 0.033179555827101546 16.406243178171717 0.023466041137116825 None None 59523.15430646265 0.36086233555409175 0.356 0.337 0.991 0.993
ztfg-ztfr  True O94 16.244393788685663 0.016279205893882293 None None 1.0104516714601337 0.03336204511224482 16.407200709535644 0.023551387613742043 None None 59523.15336351106 0.3620877106950593 0.355 0.336 0.991 0.993
