bps_used variant success reddening_law st e_st Ymax e_Ymax Vmax e_Vmax Tmax e_Tmax Bmax e_Bmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 1.5003668230809595 0.30891758570571476 None None 20.028048663190102 0.1643848700886172 59288.317293157175 8.683579872466868 19.68481144432855 0.24147164726738257 0.345 0.345 0.996 0.996
J-c-o 1D3 True O94 1.4540724226060344 0.28847382471145605 20.551115374129626 0.35355663837354884 20.022611082373977 0.16416245345306493 59288.31801055466 7.618656419321658 19.66910184173614 0.23060050336017174 0.474 0.471 0.98 0.98
