name bps_used success reddening_law Hmax e_Hmax Ymax e_Ymax umax e_umax Vmax e_Vmax Tmax e_Tmax Bmax e_Bmax st e_st imax e_imax rmax e_rmax Jmax e_Jmax gmax e_gmax 
04dt B-V0-g-i-r-u True F19 None None None None 15.469964119146178 0.06861662231429572 15.189076787506435 0.02944733982799795 237.62642038358686 0.552583712741025 15.161060312935936 0.04047461625773368 1.1890083923464796 0.0318618240169394 15.47572094598521 0.03828916143933526 15.260307433057257 0.02931960054029835 None None 15.108569549156762 0.03609294755434098 
04ef B-H-J-V0-Ydw-g-i-r-u True F19 17.060921346405394 0.09338318915718848 17.04663269010583 0.09923402546316482 17.52610631771694 0.031139077391968632 16.729355646272538 0.019298788067013586 264.8855455165743 0.5908973012304995 16.857444852778343 0.012577828208483492 0.8172111955191587 0.03013074621238156 17.2785875532583 0.022731396116128337 16.74163974318563 0.022347413565303897 17.066239133735607 0.12809635856162 16.77780814877833 0.014510650047684913 
04eo B-H-J-V0-Ydw-g-i-r-u True F19 15.617725967660682 0.06736742624119295 15.458710595203856 0.056242300566226054 15.560899342669117 0.03301148846137884 15.052140465240797 0.021152756207134017 279.0704066098915 0.34252497695735296 15.111595389401662 0.013885785600826046 0.8167840521426413 0.030359744713070357 15.507132166433724 0.02386443280999097 15.011727803358708 0.023212804123061884 15.409193881335563 0.05248509568889488 15.02686694093005 0.01632661847081087 
04ey B-H-J-V0-Ydw-g-i-r-u True F19 15.829581772355954 0.05907103071516508 15.589786859621707 0.05141782381634582 15.126196999644279 0.03029575700901386 14.814536191107939 0.019167433861532444 304.67714539168657 0.3405867026955373 14.780528259368259 0.012224811796681178 1.0112757591053898 0.03012068301991312 15.518817918375035 0.022348984822653226 14.903276878188715 0.022167420980402214 15.442694407600026 0.04468232155309493 14.750088450518026 0.014193590874006857 
04gc B-V0-g-i-r True F19 None None None None None None 16.5831948099539 0.05034677717676139 325.3848249685494 0.8555035416053086 16.731114420191947 0.0647825703775907 0.9208041998952758 0.03804304985054088 17.075443744502685 0.07420535222751079 16.54026987475116 0.043359149196404594 None None 16.64833708888175 0.04195927871648587 
04gc B-V0-i-r-u True F19 None None None None 15.90888849108988 0.10762623623996016 16.479727900524562 0.05619641199799805 323.75336535566333 0.9166623808232999 16.768427046323033 0.0741585032923586 0.9570475817689004 0.04082282226243749 17.023423466243486 0.08059753397027095 16.507170071020337 0.0493239570609787 None None None None 
04gs B-H-J-V0-Ydw-g-i-r-u True F19 17.2749612454413 0.08546645390864496 17.199699070646805 0.08000788268335289 17.87428170491819 0.03239763436628955 16.966633145097752 0.019679952024610727 356.96021386878044 0.6028472094393121 17.160516622267767 0.012990777846157264 0.6888628801351044 0.03033128740027764 17.349284617249467 0.023473028583081697 16.947340102356314 0.022530182780780467 16.99590403989576 0.09360543691014046 17.030533833061675 0.014857080554769059 
04gu B-H-J-V0-Ydw-g-i-r-u True F19 18.319262309294693 0.11502798491066926 18.0661334629546 0.07657923245021127 17.859083121748466 0.04207349513702615 17.309100633362867 0.021066726588864357 362.266702186317 0.431589934067648 17.436709886130718 0.01754306582524381 1.2492311848479867 0.031838752178828804 18.051572470003315 0.02581928688497624 17.41058868158456 0.023425884327690195 17.800492432634016 0.1909269028760438 17.32887554386663 0.01689738219949214 
05A B-H-J-V0-Ydw-g-i-r True F19 16.317962304859524 0.10548398967336865 16.304879241894948 0.11597580057161257 None None 17.112317930392283 0.024086893317293936 380.21448056685654 0.7203673798713915 18.10774452072972 0.02335238440010998 0.9612254470774122 0.03210343608778448 16.961097711590813 0.027979486033953498 16.73121988660632 0.025309520080728315 16.28974689508462 0.13116983417041886 17.672622762342474 0.02011155657849552 
05A B-H-J-V0-Ydw-i-r-u True F19 16.29512458145428 0.14156819519762642 16.292876880886705 0.14711449511978517 17.623253441661475 0.04089906000308421 17.103114551309982 0.03007283588481196 381.10768095026526 0.7799752133322378 18.238641928990663 0.03342395455436009 0.9363508426191114 0.03475464088544896 16.96452788117534 0.03519655054477186 16.74338718009765 0.029301979307521795 16.365405313595915 0.16570242060109233 None None 
05ag B-J-V0-Ydw-g-i-r True F19 None None 19.261889466764703 0.09222076429121785 None None None None 414.27182364887045 0.6573366335018052 18.481240848767982 0.012847906387596066 1.094144551545062 0.031521968976728064 19.204419260236634 0.023488362927091385 18.536656927764152 0.022569534482540423 19.320583541250656 0.112144846354527 18.427871593578892 0.014510510140072163 
05ag B-J-V0-Ydw-i-r-u True F19 None None 19.37394823885112 0.18760283355613525 18.270640772023494 0.038015446159997225 None None 415.7959450906617 0.8045622795790367 18.648081374998938 0.020438460318387197 1.1890077450640786 0.03854154140239786 19.198553643179935 0.038202905913818565 18.6458425083867 0.02709081633399378 19.417476519942976 0.2716982231073056 18.51933399582517 0.02321528478744906 
05al B-H-J-V0-Ydw-g-i-r-u True F19 15.630942045493054 0.07035682710406009 15.51751431982108 0.07725466521270166 15.355939402481486 0.03136858698399332 14.930644757284009 0.019534449362430692 430.9661569839246 0.6355149784139693 14.883178751214988 0.012796535199793886 0.8577170542386849 0.030184827656005744 15.638023818639645 0.023104676039298326 15.024046763345218 0.022572337658173916 15.406423044545484 0.08902015461204138 14.86399483017397 0.014713489797498829 
