TNS_name classification RA Dec MW_EBV gal_PGC gal_RA gal_Dec z_hel z_cmb z_flag
19bus SN Ia 217.357108659 16.6820600443 0.021391556598246098 1514443 217.35827083333334 16.68150277777778 0.0823269543358559 0.0830485211345179 spu
19bvj SN II 177.749687086 44.5508970575 0.016130741760134695 None 177.7509907054 44.5526813201 None None n
19cth SN Ia 221.447875 50.396761 0.024515835642814635 52713 221.4543547178 50.3940541254 0.013359575576781187 0.013710013011153483 spu
19cxu SN Iax[02cx-like] 196.375340327 -8.76463430234 0.03082346126437187 9005009 196.375623155177 -8.76457625156656 None None n
19cxx SN Ia 169.450779522 13.7282095222 0.01738056294620037 1438811 169.4525 13.727777777777778 0.0247838122732227 0.025941659732743254 spu
19dfa SN Ia 149.749375 17.818719 0.02879531793296337 28838 149.75094 17.81714 0.025459279565998957 0.02652573619913589 spu
19dfx SN Ia 191.818632654 -9.68711342907 0.03008808858692646 987781 191.81775 -9.68759 0.054083999 0.05521557358874203 pu
19dpu SN Ia 196.076833 33.47105 0.010442288015037774 4353541 196.07820833333332 33.469972222222225 0.06681694985686217 0.06763811046148464 sp
19drp SN Ia 215.510884285 30.067005557 0.016650197729468345 1888906 215.51054583333334 30.06656388888889 0.08522562632312786 0.08586741507975455 spu
19due SN Ia 240.406638802 16.4359352776 0.03201289176940918 1508620 240.40365416666666 16.431283333333333 0.04334098358138149 0.04365225488331308 spu
19dwd SN Ia 160.7275312 21.6247591 0.019803288094699383 1653857 160.72649583333333 21.623338888888888 0.05122543809958021 0.05230412919717353 spu
19dwq SN Ia 223.565125 4.792989 0.031933746337890624 53259 223.5598 4.79439 0.02754972575060578 0.02822700707237102 spu
19dwz SN Ia 238.6720725 -30.64721 0.11114358603954315 714674 238.6738125 -30.646991666666665 0.04607963148708845 0.046502343698117274 spu
19dyo SN Ia 135.278636862 52.6510378974 0.01728406600654125 25334 135.27394537253 52.64990567233 0.029829302777189946 0.03033955718107198 spu
19ecs SN Ia 160.885375 48.445639 0.014048680923879146 3467998 160.88323333333332 48.44374722222222 0.041315248831243115 0.042013269371828664 spu
19ecx SN Ia-91bg-like 139.175126 18.96503 0.047198629900813104 26177 139.17262 18.96346 0.029168178740507207 0.030139428542208146 spu
19eiy SN Ia 265.224311043 38.7354072064 0.03536611877381802 60686 265.2285 38.73219444444 0.0410283837093727 0.040812440244137 spu
19ekb SN Ia 213.048401903 40.0986428271 0.005653669834136963 9005010 213.04767 40.0985 0.067288 0.06785467640150115 spu
19ens SN Ia 172.4275 24.640211 0.014666676223278045 9005011 172.42719 24.64035 0.04808368991457631 0.04913502500576056 sp
19eok SN Ia 256.381929177 12.5684260002 0.06822780877351761 9005012 256.38296551 12.56876901 0.04634035063997714 0.04633868604515074 spu
19eow SN Ia 258.496638281 3.49240579181 0.15875306159257888 1253351 258.49567 3.49369 0.07088920027991241 0.07086624768164675 spu
19fcf SN Ia 265.073458 17.694211 0.0602685284614563 1539132 265.07166666666666 17.693333333333335 0.055185037286178976 0.05499273509743983 spu
19fcw SN Ia 228.032700503 1.06049225624 0.04047501660883426 1183301 228.03292083333 1.06046388889 0.08781741934281749 0.08842538889048783 spu
19fdc SN Ia 240.277677329 49.0097439736 0.01814852897077799 2331090 240.27635708333332 49.00944972222222 0.042602806238707984 0.042734130580023046 spu
19fha ? 250.517690296 47.7359277928 0.023141947649419306 None 250.5240257548 47.723890131000005 None None n
19fjx ? 167.118241433 33.6465157644 0.017813903726637364 33757 167.11895833333332 33.64799444444444 0.043496114868714075 0.04443662444060596 spu
19fkm ? 156.317083 -3.737919 0.03775423862040043 155230 156.31705041666666 -3.7385694444444444 0.0327 0.03391092658743651 spu
19fkv SN Ia 307.777957778 8.73951666667 0.09944426760077477 None 307.777957778 8.73951666667 0.055353 0.05440114954710903 sp
19fma SN Ia 154.846875 44.40855 0.011645509861409664 30167 154.85845041666667 44.40462888888889 0.023436213328622165 0.024187730592318 spu
19fmt ? 306.972532778 14.1476333333 0.1474093785881996 None 306.972425 14.147413888888888 0.079625 0.0786879073919254 sp
19fps ? 337.4650121 -15.994515233333 0.03302334800362587 None 337.465 -15.99422222222 0.114447 0.11332614686358909 sp
19ftd SN Ia 194.4213978 -24.476642533333 0.10647107094526291 44350 194.42496 -24.47964 0.04795017224882956 0.04901161257300062 spu
19ftg SN Ia 193.23804619167 -13.036813233333 0.040337120816111564 943899 193.2375 -13.038611111111111 0.060594526557739364 0.061709283852193104 sp
19fxj ? 175.237592 -14.662182 0.03597798369824886 156917 175.23640416666666 -14.661286111111112 0.0955890513327698 0.0968053110914551 spu
19fxl ? 163.29987325 -0.50061035 0.040063370019197464 None 163.299996395 -0.5000045006 0.07224810817941953 0.073474096543222 spu
19fxo SN Ib/c 165.9691733 -3.3369953 0.04286737821996212 None 165.96833333333333 -3.3397222222222225 None None n
19fxp ? 170.167 2.69945 0.03875187665224075 None 170.14533782549998 2.7118714339 0.0485107 0.049729924305674945 sn2
19fxq ? 199.8908829 10.3009242 0.016963578909635544 None 199.8906771531 10.300936378 0.080232002 0.0812301011711672 pu
19fxr ? 242.066735231 6.82921933663 0.05636600896716118 None 242.06936666666667 6.8316083333333335 0.044565 0.04487902059457931 spu
19fxy ? 155.33741248333 12.178240366667 0.03232542715966701 30281 155.33415 12.175175 0.009535410359567512 0.01067658567814553 spu
19fyb SN Ia 154.9735369875 22.105147975 0.027173256278038023 1663605 154.97405 22.105625 0.04382965498084678 0.044883538468864004 spu
19fyi SN Ia 215.321764828 35.5088184835 0.01564805842936039 2065635 215.32247291666667 35.509368888888886 0.029773264009196658 0.030363088519087134 spu
19fym ? 205.8102562 26.0154236 0.014765053763985634 None 205.81154166666667 26.01593888888889 0.084624 0.08542940958571522 spu
19fyn ? 201.5444582 25.7047165 0.009196529183536768 None 201.5438562825 25.7045016322 None None n
19fyo ? 201.238140283 29.097965736 0.013603209145367145 None 201.2380089328 29.0985901518 None None n
19fyw SN II 196.826843 2.0032144 0.024392084404826164 45448 196.828975 2.0036444444444443 0.01942271952598447 0.02049161154547254 spu
19fzt SN Ia 168.86130145455 25.958940881818 0.014859996885061264 1756978 168.8595 25.96163 0.04620529846684803 0.047244829149131945 spu
19gaf SN IIb 309.2301634 2.8068387 0.0891900260746479 None 309.22875 2.803888888888889 None None n
19gbh SN Ia-91T-like 268.065259151 47.2677969878 0.02841260440647602 2295250 268.06416666666667 47.266666666666666 0.09571912011117163 0.09546228741821314 spu
19gci SN Ia 189.898190314 45.3771470742 0.017786860875785352 2263962 189.89775416666666 45.37786666666667 0.04692112701514326 0.047615446747792764 spu
19gcj SN Ia 163.7759561 57.6489345 0.004375086985528469 2569372 163.77499 57.65051 0.04616193513447227 0.046692400445898 spu
19ged SN Ia 151.171708 40.04205 0.009380517322570085 9005014 151.1717028926 40.042055057199995 0.0633899 0.06419553146040656 sp
19gip SN Ia 299.2558288 50.1785254 0.1285930135846138 63857 299.2585945833333 50.18130333333333 0.031461765459089706 0.0308274403462178 spu
19hnl SN II 355.792761085 -2.94962142853 0.02950341708958149 19hoc SN Ia 259.103958 36.114119 0.03950733684003353 9005015 259.10399 36.11385 0.03687926238333527 0.03677005852113014 sp
19hqg SN Ia 235.100708 41.7837 0.022977568060159683 4473235 235.10174 41.78365 0.07761538938256175 0.07787076144356617 spu
19hty SN Ib-Ca-rich 193.887621051 32.2060176349 0.014248434714972972 3798552 193.89378 32.20597 0.022856 0.023710937183734307 spu
19huh SN Ia 348.613333 8.2633 0.0849527083337307 3978094 348.61433 8.26147 0.04072934505459788 0.039492290121576915 spu
19huq SN Ia 238.658534 24.6908221 0.04104386478662491 9005016 238.65872 24.69007 None None n
19hvj SN Ia 231.278875 11.585211 0.03128025509417057 3091171 231.27761 11.58613 0.08524263809198296 0.08575116062019991 spu
19hvv SN Ia 18.6016168137 -7.47539192041 0.07127386987209319 4471 18.606105416666665 -7.478229722222222 0.018126873625353177 0.01709939938547537 spu
19hyj SN Ia 353.752082224 23.139272368 0.06382984220981598 1682143 353.7529166666667 23.139166666666664 0.05710117688163202 0.0559191332287115 spu
19hyv ? 238.201292 7.545831 0.03543752394616604 None 238.1989417378 7.5460530523000005 0.094784997 0.09517502263890996 pu
19hyw ? 184.91440215 5.63019225 0.01639897409826517 None 184.916961862 5.6279408197 None None n
19hyx ? 208.65225451429 42.797820042857 0.009361833855509758 None 208.65186 42.79823 None None n
19hzd SN Ia 229.309583 -25.197311 0.13482767701148987 2816948 229.30845416666668 -25.19483888888889 0.05052161785871211 0.051115847086253705 spu
19iay SN IIn 200.2705832 8.1685055 0.019846397750079632 None 200.26971 8.16813 None None n
19ibd SN Ia 325.44252985 7.20265770321 0.04366697326302528 3948214 325.44270833333 7.20258333333 0.05846 0.05731449074157501 spu
19icf SN Ic 264.4013279 43.5176207 0.028138658180832863 60593 264.4019191666667 43.52003638888889 0.031607 0.03140315685094902 sp
19icy ? 203.82348 -22.531085 0.06918844670057296 None 203.82 -22.53638888888889 None None n
19idb ? 172.195792 26.039589 0.01849771685898304 None 172.1998616162 26.0410726545 None None n
19ieh SN Ic 250.545167 6.984019 0.08685572922229767 19iei SN Ia 209.030021 37.5643489 0.009642294105142354 9005017 209.03192 37.56367 0.0614772448328356 0.06211975528312751 sp
19iev SN Ia 310.397838 -20.956796 0.03380359560251236 3928548 310.39770833332994 -20.957111111110002 0.05424 0.0533821662059578 pu
19ifr SN IIn 329.827256643 -6.9938327969 0.030015113577246667 None 329.82450416666666 -6.994275 None None n
19igg SN Ia 229.8108381 7.8664616 0.03237455666065216 54682 229.81113 7.86548 0.04726870080233973 0.04782041991619637 spu
19ihl SN Ia 335.5473205 -4.0067624 0.0567872379720211 1064165 335.54733 -4.00669 0.10119 0.10000288423398189 spu
19iml SN Ia 262.822333 36.45065 0.029676108807325362 60431 262.82412 36.44289 0.049448 0.049274135423418165 spu
19jwq SN II 193.977625 48.751119 0.016360027715563774 None 193.974527255 48.753466783 None None n
19jzs CV 318.9621945 -0.1212877 0.06088544249534607 None 318.9621857068 -0.1212192527 None None n
19jzt SN Ia-91T-like 13.6342179 34.378285 0.08158814325928689 9005018 13.63579 34.3773 0.08190007754026658 0.08090333291302801 spu
19kah SN IIP 14.5408175 -29.3234691667 0.02563038971275091 3473 14.543079166666667 -29.324047222222223 0.033973555555555555 0.0330892050712484 spu
19kai SN Ia 359.568958 27.946511 0.06899925887584686 73086 359.56798333333336 27.948091666666667 0.040292 0.03915981766371347 pu
19kcv SN Ia 216.43574294615 -3.2330263076923 0.06687724247574806 1074290 216.4390125 -3.2308611111111114 0.0730138447979235 0.07383350660278136 spu
19klr SN Ia 16.6758338 49.2344258 0.11847162514925003 2337088 16.6781 49.232886111111114 0.02221464209480339 0.021399519000117054 spu
19kpv SN Ia 356.773333 -34.709739 0.009880291856825351 9005019 356.77379 -34.71067 0.0425 0.04158672224704156 spu
19ktf SN Ia 353.124553511 -29.5603133302 0.016658950373530386 3984862 353.12554 -29.56058 0.050151 0.049160012674527465 pu
19kud SN IIn 221.123875 33.986119 0.012424866016954183 None 221.12106666666668 33.98866388888889 0.032412 0.0329382441786827 spu
19mrj SN Ia 236.67979 28.197915 0.025282875783741474 3853245 236.68349 28.19857 0.0762994511356253 0.07662027001588553 spu
19mrw SN Ia 355.320083 25.550019 0.03990246169269085 72115 355.31704583333334 25.551244444444446 0.03134301664119916 0.030180017266866328 spu
19myw SN Ia 333.011107522 0.0522001750839 0.05114798180758953 1155907 333.01175 0.0535 0.05677160831043989 0.05558381118261069 spu
19nft SN Ia 32.151611298 6.1122095141 0.03921741671860218 9005020 32.15103 6.1126 0.069246 0.06835598677885842 sp
19njp SN Ia 51.690667 1.183289 0.09698982372879981 5093996 51.69102 1.18283 0.04851356200561924 0.04796905580530069 spu
19nkd SN II 215.215333 50.523031 0.017582142874598503 None 215.2181875 50.52461111111111 0.044628999999999995 0.04504349940354401 spu
19nvm SN II 261.411114384 59.4467399895 0.025703162886202335 60271 261.4100277 59.4467241 0.01817 0.018003463290831186 spu
19nvo ? 253.742302 39.02454 0.014462900124490261 None 253.7421046522 39.0244737958 0.062042 0.06201692343548588 spu
19nwf SN Ia 61.2707482009 -6.60481597252 0.07275243237614631 9005021 61.27072 -6.60439 0.06464116548832113 0.06431006754731866 sp
19nzv SN Ia 233.261604176 40.4331300643 0.018661852963268756 4005961 233.260675 40.43402777777777 0.09665686786556853 0.09694974922555724 spu
19obt SN Ia 5.1442202941176 5.7550457882353 0.014992396645247937 1288570 5.14546 5.75417 0.05600874722472171 0.05482676521417146 spu
19oci SN Ia-91T-like 55.80375 40.165569 0.2364208596944809 2161645 55.80438 40.16611 0.038550155610422514 0.038102170779041884 sp
19odb SN Ia 247.472714286 37.5839928571 0.007753517888486385 2104328 247.4718467 37.5841166 0.07343747119882515 0.07352233758860272 spu
19odf SN II 342.186208 27.57185 0.04327803805470466 69768 342.1840000000001 27.58369444444 0.03201214621616665 0.030859833842153676 spu
19oez SN II 16.40675 -24.403911 0.017201676778495312 3887 16.406783333333333 -24.40351944444444 0.03981468977145572 0.03889327648349584 spu
19ofk SN IIb 244.625287517 18.475066159 0.03944275565445423 None 244.6401240564 18.4660107657 None None n
19oke SN Ia 316.564780499 -7.41986978638 0.07457603871822358 3366683 316.56437916666664 -7.420130555555556 0.06934130410979185 0.06831924579621836 spu
19omb SN II 3.16525909666 5.50893770403 0.021859531514346598 859 3.159304166666667 5.505361111111111 0.028276687499999998 0.027082944033018627 spu
19omi SN Ia 57.249125 0.926919 0.15508021891117096 13895 57.24839 0.92597 0.03578809177380973 0.035353535265392755 spu
19oml SN Ia 45.0844949917 18.7436121626 0.18899594575166703 11355 45.08321625 18.741979444444446 0.03299982950204838 0.032322569612476273 spu
19one SN Ia 31.09978786 3.18681441796 0.030449718236923218 9005022 31.1010556 3.1872876 0.0763825624008605 0.0754809025693787 spu
19ons SN Ia 328.521042 -16.159519 0.04402597583830357 67607 328.52242 -16.15906 0.03678611554664261 0.03571379665403129 spu
19oop SN IIP 354.457674987 -24.4050746359 0.021465862765908242 196019 354.46025 -24.40628 0.05374091220163187 0.052690821864511496 spu
19ope SN Ia 346.718985556 -37.8503288889 0.011752253994345666 616700 346.71880541666667 -37.849028611111116 0.06044514969085714 0.05956618586951529 spu
19opx SN Ia 28.1618995206 -6.35612392114 0.023227026425302028 1033815 28.161 -6.35622 0.08786411831614524 0.0869494917005209 spu
19pcn AGN 309.118292 -8.5535 0.043524124473333356 None 309.11829166667 -8.55344444444 None None n
19pdy SN Ia 37.9114636364 9.74770363636 0.08188334956765175 1369486 37.9115 9.74777777778 0.06903231121005485 0.06822994141003699 spu
19pff SN Ia 251.457667 45.086311 0.01109275572001934 2258590 251.453225 45.08766111111111 0.05964793150333355 0.05963948411718525 spu
19pfq ? 337.102982581 18.8975832348 0.053183256685733794 1573847 337.10269166666666 18.897791666666667 0.04468 0.04348996085440754 sp
19qeo SN Ia 140.731292 54.028231 0.020705323033034802 9005023 140.73143 54.02788 0.05682346598600704 0.05734581005611733 sp
19rrt SN Ia 154.332458 36.651061 0.010394578576087951 2084426 154.33125 36.64981 0.03349650643979843 0.03436640076017149 spu
19sla SN Ia 122.1199006 1.4739389 0.025822710804641245 1196018 122.11996 1.4735 0.06276280250480956 0.06361639014905604 sp
19smj SN IIn 117.419667 5.074211 0.02579351022839546 None 117.41933333333 5.06952777778 0.049759 0.05052554407132861 sp
19sox SN II 322.853 2.494181 0.049361430034041406 66891 322.8505 2.49127777778 0.010919511548232883 0.0098005781606216 spu
19spa SN Ia 47.134270945 -10.0407956601 0.07455807209014892 9005024 47.13441 -10.04151 0.03207433493092018 0.03148234376133516 sp
19vdg SN Ia 95.8830948768 50.3999618559 0.12715870767831802 18941 95.88442 50.40206 0.0360649499728242 0.03619318157561272 spu
19ved ? 118.528333 10.031069 0.017619434520602224 1373610 118.52792125 10.031958611111111 0.07078976 0.07155256783674323 sn2
19veq ? 7.76553779296 -8.55711370978 0.03303421832621097 None 7.76420935593 -8.55722724483 0.093240999 0.09212081787416229 pu
19vjl SN II 147.348738108 1.14632910419 0.07236328572034836 None 147.34853763360002 1.1407861804000001 None None n
19vjm SN Ia 151.17075 4.816411 0.016683510318398476 29226 151.17068166666667 4.818197777777778 0.029840643956426684 0.031000969582705047 spu
19vju SN Ia 166.000917 -18.776511 0.04046756148338318 33430 165.99958 -18.78058 0.012730807257332671 0.013941139370094863 spu
19vjz ? 322.051518076 12.6173418295 0.11624519854784011 None 322.05215416666664 12.617344444444445 0.037526 0.03641412173211261 sp
19vkk ? 41.3602016668 35.0622284721 0.050813295692205426 2058829 41.359437916666664 35.06381861111111 0.059906 0.05922283088557796 sp
19vlg ? 338.5512777 -0.2214012 0.046919858828186986 None 338.55882 -0.21708 None None n
19vmg ? 355.12881803333 25.1613345 0.0349403116106987 None 355.130125 25.16197222222 0.098721 0.0975549008671134 spu
19vnk SN Ia 60.1814571894 -9.00047911238 0.045296272188425066 996518 60.17834 -8.99979 0.053284999000000006 0.052939921979845345 pu
19voo SN Ia 184.927208 -12.225731 0.039317312836647036 39698 184.92583 -12.22556 0.01392963661547483 0.015108822296981765 spu
19vop ? 180.736714 -6.7755 0.02848342649638653 125829 180.732375 -6.77377777778 0.07652 0.07772679083560677 spu
19voz ? 343.98991045 -24.04791665 0.024610711485147475 None 343.99037 -24.04733 0.07816397886877982 0.07710497378186434 spu
19vpp ? 57.9711204145 -4.28622032219 0.12013335883617401 None 57.9711204145 -4.28622032219 None None n
19vpz SN Ia 19.639125 -0.228239 0.028208913207054136 4690 19.64221 -0.22825 0.04724735270024705 0.04620373205131802 spu
19vqj ? 151.335343846 12.1878530306 0.03465559758245945 None 151.335343846 12.1878530306 0.069528997 0.07064908779470809 pu
19vqm SN Ia 203.076612953 7.9404662813 0.02246559605002403 3809557 203.07629 7.94078 0.023613002299077184 0.02458646002921014 spu
19vrw ? 1.82936333333 19.1662833333 0.03806712001562119 None 1.82880182883737 19.167087643274 0.088270999 0.08709620193282941 pu
19vrx SN II 21.214442 -31.757384 0.02515063460916281 5227 21.20966666667 -31.7565 0.03615250791211386 0.03535805495194053 spu
19vtt ? 317.805917 -20.4891 0.032943193390965464 66283 317.80563458333336 -20.485795555555555 0.029470681654175317 0.02852626782193591 spu
19vuh SN Ia 51.6765581452 -23.4988033714 0.019461348690092563 176183 51.67046 -23.49617 0.03629377494213013 0.03585587840721203 spu
19weu SN Ia 351.138292 5.110931 0.04752623572945595 9005025 351.13790242 5.1125206 0.03247619867645693 0.031241286151919 sp
19wfa SN Ia 326.253583 9.123831 0.06106902375817299 1360013 326.2539 9.12241 0.06022160656053212 0.05907014956209352 spu
19wfc SN Ia 159.062083 52.947419 0.0178674079477787 2427824 159.0610375 52.947088888888885 0.046538862562046174 0.047152124922581994 spu
19wli SN Ia-91T-like 208.230614274 3.02895922599 0.02263644240796566 9005026 208.23091 3.02866 None None n
19wmx SN Ia 42.696083 33.512589 0.09083351761102676 10804 42.7010275 33.512706944444446 0.0398915972729374 0.03922005318812832 spu
19wqd SN Ia 218.2942912 6.0635603 0.029382571652531622 4114972 218.29512 6.06342 0.05522487160100606 0.0559871527169002 spu
19wzy SN Ia 29.9178682 5.9819679 0.034213630706071856 9005027 29.91714 5.98217 0.07394090282154535 0.07301841098824101 spu
19xbg SN Ia 158.28471846667 -22.1892658 0.04349689580500126 155436 158.28192 -22.19472 0.07932988094050052 0.08050766292501885 spu
19xfx SN Ia 36.054917 -10.504261 0.019865535348653793 977376 36.05446 -10.50442 0.070336 0.06955799600788011 pu
19xhb SN II 2.544542 -6.001 0.026858704127371312 19xua SN II 75.243958 -20.349411 0.03294146336615086 842970 75.24604166666667 -20.349505555555556 0.0315182819336892 0.03151760768017405 spu
19xvo SN II 59.594667 6.71545 0.2177168309688568 14191 59.59504166666667 6.714808333333334 0.018376 0.01797653539084344 spu
19xvx SN Ia 213.037 -4.120411 0.03262355849146843 1062602 213.03696 -4.11972 0.05449770187347408 0.05537196550468016 spu
19ycb SN Ia 184.702667 5.737611 0.01664948008954525 1288308 184.70312916666666 5.738216666666666 0.046035180778296964 0.0471902715946015 spu
19yfu SN Ia 191.401498428 1.18360934272 0.01658499341458082 1186984 191.402 1.181413888888889 0.08449845659559588 0.08562138067382113 spu
19ywf SN Ia 44.676167 32.573011 0.1618060940504074 2003105 44.67712 32.57375 0.038603646951112194 0.037957367829789 spu
19zho SN Ia 162.62198296667 8.8981624333333 0.023271247781813144 9005028 162.62193666 8.89802565 0.07231 0.07349584021154519 sp
20aabz SN Ia 43.746 4.060281 0.05740394055843353 3647265 43.74721 4.06094 0.026318207111134195 0.025620660861992443 spu
20aafx SN Ia 86.451976211111 9.5020111444444 0.3729065668582916 9005029 86.45152 9.50138 0.058458552551646586 0.05861539850140087 sp
20aai SN Ia 152.991262889 -1.95169505239 0.03688344024121761 154854 152.99053 -1.95169 0.045261312077437256 0.04645321630122436 spu
20aar SN Ia 32.405325571429 15.295854957143 0.07031490430235862 3090578 32.4036 15.29604 0.041456 0.04057246038481041 pu
20aczg SN Ia 150.277875 54.789569 0.007200799789279699 9005030 150.28413 54.78763 0.02506024168345545 0.02561448798298767 sp
20add SN Ia 155.009390681 6.63179354225 0.018863524198532104 1304497 155.00883 6.63078 0.10853174965462274 0.10970451191933249 spu
20alq ? 43.9149144444 -4.46345111111 0.04636230386793613 None 43.9140409 -4.4630145 None None n
20amt SN Ia 113.68212057143 18.042491714286 0.03292882777750492 1548563 113.68242 18.04236 0.044863624231176194 0.04550164701550996 sp
20ayh SN Ia 290.284 43.328669 0.08349741786718369 63101 290.2849 43.32539444444445 0.018286650826953087 0.017705472521523238 spu
20bad SN II 141.111150288 20.6349272624 0.0375917412340641 20bcq SN Ib 201.623567886 36.0085283506 0.01343922521919012 47041 201.61872916666667 36.01036388888889 0.018506751269644465 0.01924567987119345 spu
20bdf SN Ia 43.949301875 15.1003244 0.09521780416369438 1475229 43.94958 15.09967 0.03417152074831255 0.033471370006841805 sp
20bdh ? 42.0770749 -9.4480172 0.024345376938581468 None 42.0758603585707 -9.44750877665468 0.047316998 0.04663292693851918 pu
20bdx SN Ia 105.29489696 36.05989222 0.07028852462768555 2074377 105.29271 36.06367 0.160012 0.1603824781708775 pu
20bfb SN Ic 193.684290833 -39.85264 0.09815056785941124 43954 193.68762083333334 -39.85228055555556 0.011708033566803224 0.012651941591610403 spu
20bft SN IIb 228.16026 -32.209775 0.26523415386676785 None 228.157 -32.21039 0.041135 0.04172890382665377 sp
20bga ? 151.977504375 -34.539011875 0.08893814086914062 3081700 151.97782916666668 -34.53856944444444 0.02927 0.03032757188557387 spu
20bpu SN Ia 71.91388492 -14.64837688 0.06552256897091865 3686478 71.91279 -14.64956 0.04152872985216993 0.04144337434052223 spu
20bpz SN Ia 175.244021829 -11.4492900885 0.025714433677494524 965648 175.24304 -11.44886 0.039273106214959705 0.040496678264999184 sp
20bqz SN Ia 234.76485744 31.19842962 0.020737423002719878 1936127 234.76535416666667 31.19795277777778 0.05396066368020505 0.054295829323187064 spu
20buy SN Ia 196.043619928 -4.53443620916 0.02873260773718357 9005031 196.04338 -4.53407 0.09036782 0.09145894997985249 sp
20cbf SN Ia 230.716408075 38.4496064575 0.014147681593894958 2127359 230.71823166666667 38.448613055555555 0.040134431934241654 0.040480952868725696 spu
20cbo SN Ia 215.13843 -33.328625 0.0742785769701004 None 215.1371381357014 -33.32858091054632 None None n
20cdm SN Ia 188.755386936 -5.48857633754 0.042380475550889966 41887 188.75163333333333 -5.490775 0.022898508007162744 0.024055153191071866 spu
20cho SN Ia 160.961382879 18.658406394 0.025182300470769404 32002 160.96217291666667 18.656436944444444 0.030226911178666143 0.031335128570001806 spu
20cli SN Ia 247.986216708 14.0442381041 0.04555941216647625 3867429 247.98438 14.04381 0.053510352151687555 0.05367848834076763 spu
20clq SN Ia 68.356542 -4.265831 0.0430088397860527 15518 68.3555075 -4.265356388888889 0.015020057642677588 0.014829081768275987 spu
20cot SN Ia 158.898527022 22.6406374755 0.0192705013230443 3757802 158.90021 22.64164 0.09815457065300824 0.0992176072737666 spu
20cpn SN Ia 107.880367149 58.9515789126 0.03467898815870285 2584632 107.87808333333 58.94938888889 0.08015545207611594 0.08034557067471733 spu
20cvn SN Ia 108.405 42.781181 0.06218849718570709 None 108.40629 42.77847 0.04735983735432441 0.04771763029805026 sp
