TNS_name classification RA Dec MW_EBV gal_PGC gal_RA gal_Dec z_hel z_cmb z_flag
19agl SN Ia 193.3507859 0.4607031 0.021134414039552213 3115095 193.35089166666666 0.4611638888888889 0.08062911309129732 0.0817367547212239 spu
19agx SN Ib 202.486041122 38.4054771741 0.008024782575666904 47411 202.48880125 38.403865555555555 0.03498620321106293 0.03568618200077752 spu
19ahi SN Ia 207.902495092 -8.84007972787 0.03344176732003689 170305 207.90439208333333 -8.836136388888889 0.028343608297177376 0.02929558153448988 spu
19ahr SN Ia-91T-like 162.952631389 8.84098812999 0.024991331361234187 1355077 162.9522728 8.840782 0.0522928432042143 0.05347963541232052 spu
19akg SN Ia-91T-like 161.265549487 0.10454609164 0.04045726783573628 32088 161.26837052 0.10482699 0.03895861849866817 0.0401788643450331 spu
19amo SN Ia 211.841303027 -1.09237162209 0.05108752064406872 184409 211.84189603 -1.09639357 0.05508811032197481 0.055974624335770905 spu
19ard SN Ia 130.9015952 47.2535595 0.022877736017107964 3131461 130.90712083333332 47.25250833333333 0.06912115180696107 0.0696788020709002 spu
19ata SN Ia 153.544917 -35.160889 0.09389612928032876 4076039 153.555221936332 -35.1592472782098 0.02976392421453111 0.03082269293053193 spu
19ava SN Ia 113.245333 58.2789 0.06326362431049347 21253 113.2455 58.281 0.03980753912094747 0.04005557545706827 spu
19awc SN Ia 231.8757772 28.6994081401 0.020674158558249472 55139 231.87684323 28.69985136 0.06422109524850021 0.06462176844434146 spu
19bas SN Ia 246.715458 29.3857 0.0234550741314888 1864645 246.71665833333333 29.38725833333333 0.07830083570681422 0.078434690714899 spu
19bbd SN Ia 189.5266925 8.0462038 0.02140047263354063 3792867 189.52610833333333 8.04588611111111 0.08594946040970784 0.08705915615279816 spu
19bcw SN Ia 191.3355198 42.0608683 0.016503490023314953 4340197 191.33547 42.06085 0.04178617429791794 0.04252339463738262 sp
19bdz SN Ia 222.1537264 6.8144252 0.029177528470754624 52879 222.15776416666668 6.814580555555556 0.03465397385013602 0.03534804212143384 spu
19bgs SN Ia 240.842167 27.498469 0.038799743875861166 4487401 240.8427041386 27.498575602800003 0.0768543405851095 0.07710454552070524 spu
19bgt SN Ia 138.0261107 15.91012 0.02558598093688488 1496233 138.02693666666667 15.912539166666667 0.07158619047047542 0.07257062972739783 spu
19bka SN Ia-91T-like 176.10758 19.7132325 0.018389585502445696 4624473 176.1133375 19.72732222222222 None None n
19bky SN Ia-91T-like 226.406833 21.374461 0.04662021212279797 9005003 226.40731671618178 21.375211759275132 0.06343832236178236 0.06398100653011743 spu
19blm SN Ia 129.8341183 17.1880463 0.021624312214553357 9005004 129.83490063 17.18841805 0.0707402458004069 0.0716212027201953 sp
19bqe SN Ia 149.91629503636 35.395130863636 0.013240061718970537 28888 149.92172 35.39281 0.017137522518995457 0.0180045827307453 spu
19bse SN Ia 141.51045898333 18.940155716667 0.029061235561966894 9005005 141.51051271 18.94021709 0.0284264 0.029419745122835825 sp
19bsp SN Ia 141.36175 58.3142 0.0271712539345026 9005006 141.3632 58.31405 None None n
19bsu SN Ia 255.780476154 27.9454215385 0.0628354687988758 None 255.78039266 27.94503073 0.06306304635177042 0.06303266138180685 spu
19buq SN Ia 222.7990876 -9.4388482 0.07657842710614204 9005008 222.80042 -9.43887 0.0391170480716686 0.039837307054700705 spu
