# model=snpy_max_model
# h=72.00163002615162
# N = 324
# RMS = 0.24550529029797882
# WRMS = 0.21491565927148093
# NMAD = 0.16814900394672314
# STD = 0.24544615460812721
# STD(logH0) = 0.049150487235919395
# rchisquare = 9.610228193619061
# sigma_int = 0.21321
TNS_name          RA        Dec     PGC       galRA     galDec          bandpasses variant redlaw calibration         DM      e_DM     z_hel     z_cmb       e_z          ra        dec     MWebv  fitprob  fitprob_data  fitprob_data_model  rchi2  rchi2_data  rchi2_data_model          Tmax    e_Tmax  rchisquare        st      e_st       Jmax       Vmax       rmax    e_Jmax    e_Vmax    e_rmax        dist          h0  resid_DM
   19buq  222.799088  -9.438848 9005008   222.80042   -9.43887     J-c-o-ztfg-ztfr     1D3    F19        None  34.886309  0.195223  0.039117  0.039837  0.000003  222.799088  -9.438848  0.089045    0.121         0.108               0.113  1.359       1.384             1.374  58556.761213  2.256362    1.486684  0.785975  0.114623  16.466632  18.793674  18.686483   0.19347  0.372213  0.077095   94.899031  125.848821 -1.276218
   19cxx   169.45078   13.72821 1438811    169.4525  13.727778 J-asg-c-o-ztfg-ztfr     1D3    F19        None  35.336071  0.123199  0.024784  0.025942  0.000017   169.45078   13.72821   0.02021      0.0           0.0                 0.0  3.918       4.343             3.924  58593.526011  0.424549    3.384743  0.973388  0.036165  16.830445  16.186196  16.192164  0.122006  0.034242  0.028108  116.738515   66.619944  0.128471
   19dfa  149.749375  17.818719   28838   149.75094   17.81714 J-asg-c-o-ztfg-ztfr     1D3    F19        None  35.105602   0.05624  0.025459  0.026526  0.000022  149.749375  17.818719  0.033483      0.0           0.0                 0.0  1.963       2.007             1.963  58597.202928  0.415898    1.802847  0.999944  0.035343   16.59069   16.40457  16.416843  0.053762  0.028267  0.025568  104.983334   75.747343 -0.151491
   19dpu  196.076833   33.47105 4353541  196.078208  33.469972     J-c-o-ztfg-ztfr     1D3    F19        None  37.319915  0.053076  0.066817  0.067638      <NA>  196.076833   33.47105  0.012142    0.982         0.909               0.982  0.622       0.741             0.622  58599.998188  0.404385    0.552846  1.099872  0.037228   18.73984  18.181382  18.261344  0.050406  0.029948  0.027336  291.060346   69.667322 -0.036312
   19dwd  160.727531  21.624759 1653857  160.726496  21.623339 J-asg-c-o-ztfg-ztfr     1D3    F19        None  36.615516  0.139386  0.051225  0.052304  0.000007  160.727531  21.624759  0.023027    0.166         0.142               0.164   1.22       1.246             1.222  58611.027593  0.406823    1.122544  1.055497  0.041115  18.116829   17.54976  17.507842  0.138391  0.030411  0.030659  210.427815   74.516669 -0.157522
   19dwq  223.565125   4.792989   53259    223.5598    4.79439     J-c-o-ztfg-ztfr     1D3    F19        None  35.387459  0.051954   0.02755  0.028227  0.000007  223.565125   4.792989  0.037132    0.061           0.0               0.043  1.319       2.418              1.36  58609.910986  0.387533    1.117952  0.998723  0.032339  16.820249  16.187648  16.293801  0.049032  0.022957  0.023879   119.53407   70.793349 -0.008211
   19dwz  238.672073  -30.64721  714674  238.673812 -30.646992           J-asg-c-o     1D3    F19        None   36.42335  0.064627   0.04608  0.046502  0.000003  238.672073  -30.64721  0.129237    0.909         0.898               0.909  0.634       0.648             0.634  58606.692163  0.562758    0.649996  1.069406  0.063961  17.978337  17.907108   17.76222   0.06121  0.032727  0.055272  192.606121   72.381193 -0.086446
   19dyo  135.278637  52.651038   25334  135.273945  52.649906 J-asg-c-o-ztfg-ztfr     1D3    F19        None  35.587583  0.092262  0.029829   0.03034   0.00001  135.278637  52.651038  0.020098    0.978          0.96               0.978  0.544       0.591             0.544  58612.990413  0.350173    0.385636  1.120459  0.033671  16.954928  16.266789  16.428712    0.0901  0.021357  0.023298   131.07401   69.392665  0.031396
   19ecs  160.885375  48.445639 3467998  160.883233  48.443747 J-asg-c-o-ztfg-ztfr     1D3    F19        None  36.206845  0.054698  0.041315  0.042013   0.00001  160.885375  48.445639  0.016336    0.074         0.057               0.074  1.293       1.325             1.293  58611.171475  0.375309    1.250761  1.015793  0.034861  17.709891  17.239258  17.212658  0.052072  0.028729  0.027811  174.328776    72.24999 -0.074716
   19eiy  265.224311  38.735407   60686    265.2285  38.732194 J-asg-c-o-ztfg-ztfr     1D3    F19        None  36.238266  0.054276  0.041028  0.040813  0.000165  265.224311  38.735407  0.041123    0.467          0.38               0.467  1.004       1.043             1.004  58618.294521  0.365804    0.866364  0.927627  0.032487  17.656399  16.960411  17.117992  0.050384  0.034475  0.025589  176.869616   69.176847  0.019698
