# model=salt3-nir
# h=73.36495470247463
# N = 362
# RMS = 0.18677882126246526
# WRMS = 0.17409867848816993
# NMAD = 0.1524161935431913
# STD = 0.18671333350539407
# STD(logH0) = 0.03855644957162469
# rchisquare = 2.1435835381064208
# sigma_int = 0.12397
TNS_name          RA        Dec     PGC       galRA     galDec      bandpasses variant redlaw calibration         DM      e_DM     z_hel     z_cmb       e_z          ra        dec     MWebv  fitprob  fitprob_data  fitprob_data_model  rchi2  rchi2_data  rchi2_data_model            t0      e_t0        x0      e_x0        x1      e_x1         c       e_c        dist          h0  resid_DM
   19bus  217.357109   16.68206 1514443  217.358271  16.681503 J-c-o-ztfg-ztfr     1D3    F19        None  38.005093   0.16396  0.082327  0.083049   0.00001  217.357109   16.68206  0.024874      1.0         0.999                 1.0  0.303       0.441             0.303  58567.702443   0.61264  0.000797  0.000046  1.129986  0.471679 -0.136113  0.036825  399.041969   62.392747  0.219467
   19cxx   169.45078   13.72821 1438811    169.4525  13.727778 J-c-o-ztfg-ztfr     1D3    F19        None  35.226778  0.098402  0.024784  0.025942  0.000017   169.45078   13.72821   0.02021    0.609           0.0               0.609  0.913       3.538             0.913  58593.621265  0.136451   0.00652  0.000206 -0.105634  0.138765  -0.03783  0.025473   111.00836   70.058807   0.05991
   19dfa  149.749375  17.818719   28838   149.75094   17.81714 J-c-o-ztfg-ztfr     1D3    F19        None  35.057063  0.087485  0.025459  0.026526  0.000022  149.749375  17.818719  0.033483    0.994         0.132               0.994   0.55       1.235              0.55  58597.537401  0.133179  0.004202  0.000118 -0.295423  0.130918  0.140291  0.022456  102.662674   77.459589 -0.159298
   19dpu  196.076833   33.47105 4353541  196.078208  33.469972 J-c-o-ztfg-ztfr     1D3    F19        None  37.463346  0.100006  0.066817  0.067638      <NA>  196.076833   33.47105  0.012142    0.998          0.99               0.998  0.524       0.605             0.524   58601.06291  0.230376   0.00106  0.000032  0.290547  0.245071 -0.099713  0.025684  310.934649    65.21433   0.14785
   19drp  215.510884  30.067006 1888906  215.510546  30.066564 J-c-o-ztfg-ztfr      2D    F19        None  37.977973  0.194626  0.085226  0.085867  0.000027  215.510884  30.067006  0.019361    0.953         0.784               0.953  0.665       0.824             0.665  58599.308842  0.482957  0.000489  0.000027 -1.242467  0.736822 -0.060784  0.049687  394.089292   65.321239  0.115303
   19dwd  160.727531  21.624759 1653857  160.726496  21.623339 J-c-o-ztfg-ztfr     1D3    F19        None  36.723256  0.105015  0.051225  0.052304  0.000007  160.727531  21.624759  0.023027    0.301         0.022               0.301  1.106       1.512             1.106  58611.711702  0.197529  0.002049  0.000062  0.491101   0.22017 -0.085327  0.027444  221.131809   70.909653  -0.00905
   19dwq  223.565125   4.792989   53259    223.5598    4.79439 J-c-o-ztfg-ztfr     1D3    F19        None  35.469421  0.087881   0.02755  0.028227  0.000007  223.565125   4.792989  0.037132    0.787           0.0               0.787   0.83       2.145              0.83  58610.413086  0.139548   0.00655  0.000184 -0.075475  0.119103 -0.108041  0.022562  124.132102   68.171062  0.114483
   19dwz  238.672073  -30.64721  714674  238.673812 -30.646992           J-c-o      2D    F19        None  36.576695  0.201217   0.04608  0.046502  0.000003  238.672073  -30.64721  0.129237    0.988         0.981               0.988    0.4       0.435               0.4  58606.696381  0.605876  0.001441  0.000089  0.922947  0.632042  0.081574   0.05359  206.699321    67.44609   0.10763
   19dyo  135.278637  52.651038   25334  135.273945  52.649906 J-c-o-ztfg-ztfr     1D3    F19        None  35.670514  0.095351  0.029829   0.03034   0.00001  135.278637  52.651038  0.020098    0.981         0.013               0.981   0.51       1.716              0.51  58613.352666  0.145133  0.005519  0.000157  0.909584  0.172654 -0.076923  0.023784  136.176673   66.792459  0.155058
   19ecs  160.885375  48.445639 3467998  160.883233  48.443747 J-c-o-ztfg-ztfr     1D3    F19        None  36.397048  0.090154  0.041315  0.042013   0.00001  160.885375  48.445639  0.016336    0.992           0.0               0.992  0.562       2.051             0.562  58611.395339  0.145402  0.002837  0.000076  0.008126  0.156553 -0.110569  0.023228  190.287202   66.190749  0.156219
