# model=salt3-nir
# h=73.36495470247463
# N = 362
# RMS = 0.18677882126246526
# WRMS = 0.17409867848816993
# NMAD = 0.1524161935431913
# STD = 0.18671333350539407
# STD(logH0) = 0.03855644957162469
# rchisquare = 2.1435835381064208
# sigma_int = 0.12397
TNS_name          RA        Dec     PGC       galRA     galDec      bandpasses variant redlaw calibration         DM      e_DM     z_hel     z_cmb       e_z          ra        dec     MWebv  fitprob  fitprob_data  fitprob_data_model  rchi2  rchi2_data  rchi2_data_model            t0      e_t0        x0      e_x0        x1      e_x1         c       e_c        dist          h0  resid_DM
   19vpz   19.639125  -0.228239    4690    19.64221   -0.22825 J-c-o-ztfg-ztfr      2D    F19        None  36.220925  0.165829  0.047247  0.046204  0.000013   19.639125  -0.228239  0.032801    0.991         0.959               0.991  0.498       0.605             0.498  58825.991321  0.219313   0.00158  0.000089 -1.056959  0.262975  0.084435  0.039858  175.462749   78.942795 -0.236712
   19wfa  326.253583   9.123831 1360013    326.2539    9.12241 J-c-o-ztfg-ztfr      2D    F19        None  36.991347  0.191147  0.060222   0.05907  0.000011  326.253583   9.123831   0.07101    0.983         0.949               0.983  0.426       0.524             0.427  58833.268302  0.619658  0.001342  0.000057   0.46619  1.218999 -0.031235  0.033643  250.189693   70.781438 -0.020487
   19wmx   42.696083  33.512589   10804   42.701028  33.512707 J-c-o-ztfg-ztfr     1D3    F19        None  36.094863  0.089181  0.039892   0.03922  0.000023   42.696083  33.512589   0.10562      1.0           0.0                 1.0  0.329       2.249             0.329   58841.66066  0.116665  0.003707  0.000109  0.353152  0.136129 -0.094739  0.022299  165.566531   71.015888   0.00507
   19wqd  218.294291    6.06356 4114972   218.29512    6.06342 J-c-o-ztfg-ztfr     1D3    F19        None  37.031302  0.163962  0.055225  0.055987  0.000007  218.294291    6.06356  0.034166      1.0         0.999                 1.0   0.34       0.378              0.34  58843.357833  0.525405  0.001507  0.000089  0.971108   0.39537 -0.060717  0.037271  254.835744   65.864112  0.144699
   19wzy   29.917868   5.981968 9005027    29.91714    5.98217 J-c-o-ztfg-ztfr     1D3    F19        None  37.740775  0.141677  0.073941  0.073018  0.000003   29.917868   5.981968  0.039783    0.999         0.996               0.999   0.47       0.537              0.47   58848.49775  0.295455  0.000869  0.000038  1.432985  0.377192 -0.076159   0.03339  353.309208   61.958114  0.247056
   19xbg  158.284718 -22.189266  155436   158.28192  -22.19472 J-c-o-ztfg-ztfr     1D3    F19        None  37.203885  0.320502   0.07933  0.080508  0.000142  158.284718 -22.189266  0.050578    0.989         0.967               0.989  0.449        0.53             0.449  58841.670024   0.71038  0.000355  0.000042 -1.201589  0.897491  0.260652  0.078175  275.916123   87.474417 -0.509374
   19xvx     213.037  -4.120411 1062602   213.03696   -4.11972 J-c-o-ztfg-ztfr     1D3    F19        None  36.882307  0.121315  0.054498  0.055372  0.000167     213.037  -4.120411  0.037934    0.737         0.002               0.737  0.808       2.024             0.808  58852.932626  0.322971  0.001295  0.000051  0.465726  0.328666   0.01106  0.030331  237.936705   69.766864  0.020909
   19ycb  184.702667   5.737611 1288308  184.703129   5.738217 J-c-o-ztfg-ztfr      2D    F19        None  36.575177  0.122171  0.046035   0.04719   0.00002  184.702667   5.737611   0.01936    0.979         0.287               0.978  0.542        1.13             0.544  58850.593414  0.575907  0.001064   0.00004  0.433657  0.368876  0.158302  0.029975  206.554855   68.491681  0.074641
   19yfu  191.401498   1.183609 1186984     191.402   1.181414 J-c-o-ztfg-ztfr     1D3    F19        None  38.384672  0.166462  0.084498  0.085621  0.000013  191.401498   1.183609  0.019285    0.996         0.992               0.996  0.366       0.403             0.366  58848.673216   1.09988  0.000596   0.00003  1.222614  0.773604 -0.151386  0.038933  475.263508   54.009288   0.52958
   19ywf   44.676167  32.573011 2003105    44.67712   32.57375 J-c-o-ztfg-ztfr     1D3    F19        None  35.955278  0.099117  0.038604  0.037957  0.000004   44.676167  32.573011  0.188147    0.999         0.005               0.999  0.481        1.59             0.481    58855.7626  0.148009  0.002373  0.000075 -0.619866  0.199235  0.049566   0.02451  155.258586   73.292741 -0.061369
   19zho  162.621983   8.898162 9005028  162.621937   8.898026 J-c-o-ztfg-ztfr     1D3    F19        None  37.813774  0.139918   0.07231  0.073496      <NA>  162.621983   8.898162   0.02706      1.0         0.998                 1.0  0.356       0.458             0.356  58852.849189  0.454655  0.000647  0.000026  0.444228    0.4564 -0.040909  0.033254  365.388452   60.301573  0.309419
  20aabz      43.746   4.060281 3647265    43.74721    4.06094 J-c-o-ztfg-ztfr     1D3    F19        None  35.181932  0.079334  0.026318  0.025621   0.00002      43.746   4.060281  0.066749     0.46           0.0                0.46  1.008       5.655             1.008  59185.263085  0.076753  0.007212   0.00016  -0.15882  0.083858 -0.058307  0.021145  108.739264   70.635707  0.038697
  20aczg  150.277875  54.789569 9005030   150.28413   54.78763 J-c-o-ztfg-ztfr      2D    F19        None  35.285115  0.078263   0.02506  0.025614      <NA>  150.277875  54.789569  0.008373    0.994         0.002               0.994  0.584       1.635             0.584  59217.388397  0.100101  0.007094  0.000162 -0.106804  0.091637 -0.080986  0.020614  114.031044   67.341423  0.145067
   20add  155.009391   6.631794 1304497   155.00883    6.63078 J-c-o-ztfg-ztfr      2D    F19        None  38.462068  0.256299  0.108532  0.109705  0.000017  155.009391   6.631794  0.021934    0.591          0.52               0.591  0.917       0.963             0.917  58871.148025  0.745212  0.000344  0.000022 -2.478599  1.089519 -0.135244  0.063299  492.508457   66.777705  0.031588
   20bpu   71.913885 -14.648377 3686478    71.91279  -14.64956 J-c-o-ztfg-ztfr     1D3    F19        None  36.211548  0.177078  0.041529  0.041443  0.000077   71.913885 -14.648377  0.076189    0.997         0.753               0.997  0.419       0.811             0.419  58891.803158  0.244003  0.001954   0.00011 -1.057779  0.332098  0.021003  0.041386   174.70668   71.115866 -0.000343
   20bpz  175.244022  -11.44929  965648   175.24304  -11.44886 J-c-o-ztfg-ztfr     1D3    F19        None  36.303548  0.120409  0.039273  0.040497      <NA>  175.244022  -11.44929  0.029901     0.78           0.0                0.78   0.77       9.774              0.77  58895.514106  0.222027  0.002298  0.000092  0.982549  0.289387  0.016947  0.029054  182.267693    66.60861  0.146095
   20bqz  234.764857   31.19843 1936127  234.765354  31.197953 J-c-o-ztfg-ztfr      2D    F19        None  36.520937   0.14453  0.053961  0.054296   0.00002  234.764857   31.19843  0.024113    0.256           0.0               0.256  1.148       2.843             1.148  58893.551726  0.232362   0.00095   0.00004 -1.337359   0.30796   0.14653  0.035784  201.459355   80.797845 -0.297237
   20buy   196.04362  -4.534436 9005031   196.04338   -4.53407           J-c-o     1D3    F19        None  38.522042  0.276707  0.090368  0.091459      <NA>   196.04362  -4.534436   0.03341    0.753         0.446               0.749  0.757       1.008              0.76  58887.698031  0.854383    0.0006  0.000063  1.424168  1.219353 -0.185664  0.056134  506.300559   54.154992  0.514573
   20cbf  230.716408  38.449606 2127359  230.718232  38.448613 J-c-o-ztfg-ztfr      2D    F19        None  36.107765  0.102376  0.040134  0.040481   0.00001  230.716408  38.449606  0.016451    0.923         0.239               0.923    0.7       1.149               0.7   58900.14856  0.147783  0.002715  0.000081 -0.048208  0.175885 -0.015662  0.026212  166.553231   72.864934 -0.050652
   20cdm  188.755387  -5.488576   41887  188.751633  -5.490775           J-c-o     1D3    F19        None  35.085882  0.139759  0.022899  0.024055   0.00008  188.755387  -5.488576   0.04928    0.902           0.0                 0.9  0.504       7.648             0.507  58902.808148  0.447937  0.006343  0.000291 -0.085648   0.24988  0.011866  0.034642  104.034284   69.318923  0.086042
   20cli  247.986217  14.044238 3867429   247.98438   14.04381 J-c-o-ztfg-ztfr      2D    F19        None  36.712554  0.131832   0.05351  0.053678   0.00001  247.986217  14.044238  0.052976    0.988         0.955               0.988  0.481       0.581             0.481  58901.851033  0.291218  0.001244  0.000047 -0.580326  0.327231  0.034893  0.033735  220.044654   73.132403 -0.080147
   20cot  158.898527  22.640637 3757802   158.90021   22.64164 J-c-o-ztfg-ztfr     1D3    F19        None  38.326197  0.150697  0.098155  0.099218   0.00002  158.898527  22.640637  0.022408    0.997         0.812               0.997  0.496         0.8             0.496  58901.672896   0.42409  0.000423  0.000016 -0.143218  0.691208  -0.07662  0.033415  462.636027   64.293938  0.129832
   20cpn  107.880367  58.951579 2584632  107.878083  58.949389 J-c-o-ztfg-ztfr      2D    F19        None  37.724026  0.139353  0.080155  0.080346  0.000123  107.880367  58.951579  0.040324     0.99         0.955                0.99  0.459       0.575             0.459  58902.233503  0.492547  0.000657  0.000024  0.273283  0.650205 -0.025992  0.033847  350.594594   68.703272  0.013411
   20cvn     108.405  42.781181    <NA>   108.40629   42.77847 J-c-o-ztfg-ztfr     1D3    F19        None  36.556806  0.117312   0.04736  0.047718      <NA>     108.405  42.781181  0.072312    0.995         0.016               0.995  0.464       1.622             0.464  58912.613039  0.226733  0.001488  0.000058  1.045402   0.29702  0.081497  0.028338   204.81472   69.845433   0.02964
   20cvw  119.482958  30.026939 1887325  119.482992  30.027553 J-c-o-ztfg-ztfr      2D    F19        None  36.634774  0.109012  0.051035  0.051668   0.00001  119.482958  30.026939  0.051061    0.953         0.684               0.953  0.622       0.866             0.622  58910.816845  0.200837  0.001404  0.000049 -0.790204  0.257729  0.011985  0.026914  212.302361   72.960236 -0.070858
   20cxx    48.08175   41.28225 9005034    48.08317   41.28217 J-c-o-ztfg-ztfr     1D3    F19        None  35.300379  0.119072  0.029847  0.029291  0.000001    48.08175   41.28225  0.135656    0.814           0.0               0.814  0.601      30.846             0.602   58915.88167  0.303164  0.006429  0.000229  0.428261  0.349871 -0.035429  0.028038  114.835398   76.467297 -0.139228
   20ddk   93.247996    48.1585 9005035   93.245718  48.158324 J-c-o-ztfg-ztfr     1D3    F19        None  37.729663  0.178423  0.080569  0.080677      <NA>   93.247996    48.1585  0.161293      1.0           1.0                 1.0  0.195       0.221             0.195  58908.122954  0.565868   0.00065  0.000039 -0.731649  0.758402 -0.059962  0.037132  351.505917   68.807416  0.009437
   20dhj  223.376593   17.28914   53222   223.37511   17.29128 J-c-o-ztfg-ztfr      2D    F19        None  36.428282  0.122003  0.044172  0.044791  0.000007  223.376593   17.28914  0.026841    0.999           0.0               0.999   0.44       5.065              0.44  58919.038514  0.153986  0.002581  0.000105  0.149617  0.200889 -0.084849  0.029857  193.044056   69.559905  0.043777
   20dko  204.987747    0.82819   48338   204.99038    0.83094 J-c-o-ztfg-ztfr      2D    F19        None  34.929525  0.105343   0.02265  0.023627  0.000075  204.987747    0.82819  0.027594    0.796         0.043               0.796  0.756       1.545             0.756  58919.811321  0.159835  0.007935  0.000286  0.361084  0.207367  0.002968  0.026124   96.806623   73.169933 -0.031045
   20dxr  176.106189  53.571556 2444784  176.106733  53.571506 J-c-o-ztfg-ztfr      2D    F19        None  36.803332  0.174951  0.055245  0.055848   0.00001  176.106189  53.571556  0.012102    0.998         0.271               0.998  0.465       1.125             0.465  58925.536449  0.256025  0.001251  0.000089 -1.147759  0.294301 -0.013071  0.039352  229.438525   72.972395 -0.077955
   20eci  230.812068   0.064941 1156245  230.810192   0.066194 J-c-o-ztfg-ztfr      2D    F19        None  37.726191  0.227126  0.070916  0.071475  0.000007  230.812068   0.064941  0.066215    0.882         0.844               0.881   0.66         0.7             0.661  58919.953666  0.363687  0.001149  0.000094 -0.177045  0.506461 -0.217887  0.051855  350.944325   61.056858  0.284303
   20ees  201.813292  32.033619   47131    201.8202   32.03071           J-c-o     1D3    F19        None  35.091854  0.154244  0.024379  0.025164  0.000007  201.813292  32.033619  0.014092    0.383           0.0               0.383  1.061       56.74             1.062  58927.931524  0.245415  0.005419  0.000292   0.49236  0.176069  0.079572  0.041241  104.320774    72.31521 -0.008446
   20fxa  233.637667  37.533831 2103053   233.63792   37.53209 J-c-o-ztfg-ztfr      2D    F19        None  37.244484  0.087086  0.064228  0.064537  0.000017  233.637667  37.533831   0.01594      1.0           1.0                 1.0    0.3       0.356               0.3  58959.000882  0.182378  0.001252   0.00003   0.58057  0.178763 -0.078191  0.022363  281.123269   68.822769  0.034769
   20jdo  273.931855  58.215261 2575993    273.9275   58.21883           J-c-o     1D3    F19        None  37.009227  0.274016  0.071573  0.071268  0.000013  273.931855  58.215261  0.035261    0.842         0.085                0.84  0.759       1.347             0.761  58983.224244  0.657158   0.00041  0.000047 -2.778777  0.643147  0.216267  0.063449  252.258214   84.697188 -0.427795
   20jee   175.56125  20.097519   36328  175.560892  20.097812 J-c-o-ztfg-ztfr      2D    F19        None  34.631899  0.083861  0.019818   0.02091  0.000049   175.56125  20.097519  0.020402    0.347           0.0               0.347  1.069      11.925             1.069   58985.89439  0.103519   0.01019  0.000253 -1.638843  0.106344 -0.061206  0.021871   84.407266    74.26719 -0.058677
   20jge  273.685435  43.456143 9005036   273.68598   43.45675 J-c-o-ztfg-ztfr     1D3    F19        None  37.303706  0.107322  0.061991  0.061646  0.000006  273.685435  43.456143  0.032104      1.0         0.847                 1.0  0.486       0.833             0.486  58987.073061  0.221501   0.00099  0.000034  0.504303  0.219682 -0.024747  0.026208  288.895793   63.971053  0.196756
   20jgl  142.243442 -14.805522   26905    142.2456  -14.80756 J-c-o-ztfg-ztfr      2D    F19        None  32.359086  0.142697  0.006765  0.007874  0.000014  142.243442 -14.805522  0.070247    0.742           0.0               0.742  0.711     175.253             0.712   58992.90216  0.201029  0.063818  0.003119 -0.655326  0.288716  0.054621  0.035967   29.635833   79.656804 -0.189322
   20jhf  198.722667  27.008639   46076   198.72255  27.008172 J-c-o-ztfg-ztfr      2D    F19        None  33.922542  0.078719  0.015441  0.016313  0.000006  198.722667  27.008639  0.012708      1.0           0.0                 1.0  0.364      15.501             0.364  58991.668077  0.091279  0.011826  0.000284 -1.034739   0.08387  0.117341  0.020838   60.884739   80.323195 -0.221828
   20jjf  233.784426  23.945569 1696614  233.784471  23.944144 J-c-o-ztfg-ztfr      2D    F19        None  37.302272  0.114816  0.064268  0.064665  0.000017  233.784426  23.945569  0.052367      1.0         0.994                 1.0    0.4       0.612               0.4  58987.956236  0.197198  0.000794  0.000029 -0.073384  0.267328  0.023735  0.027874   288.70506    67.14881  0.088215
   20jjh   248.07225  50.190539   58466  248.069167  50.189347 J-c-o-ztfg-ztfr      2D    F19        None  36.367126  0.077103  0.047369  0.047389  0.000067   248.07225  50.190539  0.023717      1.0         0.118                 1.0  0.559       1.162             0.559  58993.294628  0.112305  0.001545  0.000035  0.500083  0.126589  0.104765  0.020213  187.683153   75.696074 -0.145211
   20jol  156.838125   0.422169 3114884  156.837817   0.422267           J-c-o      2D    F19        None  34.990261  0.121155  0.021703  0.022908  0.000001  156.838125   0.422169  0.063845    0.905           0.0               0.905  0.623        5.31             0.624  58990.929582  0.221819  0.005291  0.000202  1.158096  0.333305  0.139344  0.030692   99.552511   68.983824  0.098542
   20jsh  146.589292   3.073269   28033   146.58783    3.07137 J-c-o-ztfg-ztfr     1D3    F19        None  34.482913  0.118119  0.019972  0.021107  0.000008  146.589292   3.073269  0.049219    0.957         0.001               0.957  0.494       2.445             0.495  58994.999493  0.215629  0.006885   0.00027 -1.906931  0.245644  0.094181  0.029353   78.810222   80.291508 -0.228272
   20jwl  274.663664  19.189909 1583731  274.662917  19.194722           J-c-o     1D3    F19        None  36.861377  0.158727   0.05711  0.056725  0.000019  274.663664  19.189909  0.185997      1.0         0.998                 1.0  0.333       0.422             0.333  58992.443061  0.363085  0.001361  0.000076 -0.187183  0.465013 -0.021712  0.039191  235.654359   72.164087 -0.057196
   20kbw  231.493813  46.312361 9005037   231.49377    46.3127 J-c-o-ztfg-ztfr      2D    F19        None  37.922075   0.15834  0.076315  0.076584      <NA>  231.493813  46.312361  0.017845    0.808         0.668               0.808    0.8       0.889             0.801  58997.549268  0.412982  0.000427  0.000023  0.491191  0.524075  0.059244  0.036674  384.074104    59.77839  0.321633
   20kkc  218.846069 -13.654085 9005038   218.84614  -13.65384 J-c-o-ztfg-ztfr      2D    F19        None  37.317369  0.159894   0.07001  0.070796  0.000013  218.846069 -13.654085  0.077307    0.999         0.654               0.999  0.535       0.919             0.535  58998.390432  0.242288  0.000775   0.00004 -0.290537  0.331121  0.019322  0.037748  290.719217    73.00586 -0.102281
   20kpx  234.542292   4.780669   55656  234.544442   4.780404 J-c-o-ztfg-ztfr      2D    F19        None  34.776603  0.082162  0.022909  0.023381  0.000006  234.542292   4.780669  0.052002    0.825           0.0               0.825  0.832      13.653             0.832  59004.639622  0.089893  0.007959  0.000213 -1.659201  0.093231 -0.026331  0.021224   90.223695   77.690198 -0.161883
   20kqv  312.262504 -31.731072 9005039    312.2628  -31.73052           J-c-o      2D    F19        None  37.629468  0.343579  0.074523  0.073751  0.000003  312.262504 -31.731072   0.06319    0.984         0.976               0.984  0.508       0.536             0.508  58997.190915  0.640491  0.000647  0.000063  -0.44738  0.827608 -0.019738  0.090843  335.655322     65.8712  0.113223
   20krw  225.691288  58.534809 9005040   225.69052   58.53503 J-c-o-ztfg-ztfr      2D    F19        None   37.59313  0.165407  0.075716  0.075931      <NA>  225.691288  58.534809  0.009616      1.0           1.0                 1.0  0.349       0.373             0.349   58998.88265  0.310568  0.000417  0.000021 -1.598815  0.464455   0.08624  0.039982  330.085218   68.962857  0.012193
   20kui  200.363805  48.441109 9005041   200.36412   48.44089 J-c-o-ztfg-ztfr      2D    F19        None   38.41849  0.143532  0.096727  0.097303      <NA>  200.363805  48.441109  0.006413    0.998          0.97               0.998  0.556       0.684             0.556  59003.356254  0.242175  0.000479  0.000022  0.044353  0.382488 -0.135338  0.032751  482.722945   60.429808  0.266423
   20kyx  243.439625  22.920661   57542   243.44182     22.919 J-c-o-ztfg-ztfr      2D    F19        None  35.286882  0.081846  0.031916   0.03214  0.000011  243.439625  22.920661  0.090161    0.379           0.0               0.379  1.041       6.155             1.041  59008.598492   0.08914  0.004824  0.000128 -0.843188  0.098772  0.012443  0.020813  114.123854   84.428327 -0.357271
   20lfe  357.075948  33.148966 9005042   357.07739   33.14837 J-c-o-ztfg-ztfr     1D3    F19        None  35.934684  0.091686  0.036485  0.035389      <NA>  357.075948  33.148966  0.057722      1.0         0.092                 1.0  0.332        1.22             0.332  59009.349332  0.138408  0.002762   0.00009  0.158011  0.141063   0.03599   0.02246  153.793087   68.984707  0.073375
   20lil  219.498583   9.388539 1364397  219.498924    9.38788 J-c-o-ztfg-ztfr      2D    F19        None  35.553717  0.079078  0.030715  0.031442  0.000017  219.498583   9.388539     0.038      1.0           0.0                 1.0   0.49       2.901              0.49  59011.723393  0.105493  0.002593  0.000062  -1.54039  0.106226  0.104179  0.020617  129.045671    73.04549 -0.040604
   20lsc  243.515625  14.282639   57562   243.51371   14.28211 J-c-o-ztfg-ztfr     1D3    F19        None  35.226315  0.075354  0.030295  0.030553  0.000024  243.515625  14.282639  0.053827    0.732           0.0               0.732  0.887       5.708             0.887  59017.857502  0.102727  0.005287  0.000123 -0.387264  0.109635  0.017511  0.019289  110.984673   82.529202  -0.30522
   20may  185.995625   48.35525 2315646   185.99434   48.35418 J-c-o-ztfg-ztfr     1D3    F19        None   36.63125   0.10938  0.053364  0.054029  0.000013  185.995625   48.35525  0.015172    0.677           0.0               0.677  0.874       3.426             0.874  59024.656748  0.175555  0.002068  0.000067  1.291061  0.263009 -0.033134  0.025575  211.958079   76.417732 -0.175103
   20mnv  250.182625  40.414481 2165441  250.181212  40.414667           J-c-o     1D3    F19        None  34.996742  0.137052  0.025886  0.025915  0.000016  250.182625  40.414481  0.012841    0.732           0.0               0.732  0.818      25.997             0.818  59028.057745  0.149688  0.005524  0.000275 -0.439012  0.156327  0.067744  0.034199   99.850098   77.807349 -0.170227
   20mnw  224.087812   9.336071 3837040  224.086067   9.335762 J-c-o-ztfg-ztfr     1D3    F19        None  37.851107  0.142457  0.080779  0.081429  0.000017  224.087812   9.336071  0.039099    0.998         0.992               0.998  0.477       0.548             0.477  59020.075932  0.376993  0.000628  0.000025 -0.658563  0.550102 -0.081674  0.034694  371.724617   65.671596  0.110638
   20ndv  347.408742  12.830002 1417025  347.405542    12.8305 J-c-o-ztfg-ztfr      2D    F19        None  36.073465  0.080044  0.037416  0.036185  0.000022  347.408742  12.830002  0.088096    0.999           0.0               0.999  0.586       3.232             0.586  59034.267623  0.123486  0.003726  0.000091  0.567811   0.12215 -0.082407  0.020672  163.943023   66.169375  0.162287
   20nei  196.899616  43.560013 2223723  196.900554  43.561214 J-c-o-ztfg-ztfr     1D3    F19        None  37.027157  0.169534  0.061736  0.062412  0.000027  196.899616  43.560013  0.021669    0.888         0.015               0.888  0.741        1.54             0.741  59029.466381  0.249488   0.00061   0.00003 -2.670177  0.371173  0.091939  0.042615  254.349772   73.562813 -0.105745
   20nin  276.527708  30.222531    <NA>   276.52677   30.22239 J-c-o-ztfg-ztfr     1D3    F19        None  37.258217  0.105529  0.060608  0.060193  0.000121  276.527708  30.222531  0.118892      1.0           1.0                 1.0  0.331        0.45             0.331  59033.669085  0.191024  0.000728  0.000024 -0.659087  0.244601  0.042394  0.025985  282.906822    63.78578  0.205217
   20npb  269.992583  44.862669   61249  269.993667  44.857194        J-o-ztfr     1D3    F19        None  36.162024  0.201563  0.038463  0.038175  0.000017  269.992583  44.862669  0.041987      1.0           0.0                 1.0  0.325       4.569             0.325  59041.557315  0.147648  0.002804  0.000215  0.622723  0.164825 -0.017189  0.051933  170.767322   67.019285  0.133335
   20nvb  187.244917   3.572781   41101   187.24588    3.57058      J-c-o-ztfg      2D    F19        None  30.778025  0.297445  0.002952  0.004099  0.000008  187.244917   3.572781  0.021713    0.654           0.0               0.653  0.722    2218.513             0.722  59038.660644  0.285156  0.191049  0.024857 -2.736207  0.568337  0.092421  0.074592   14.308862   85.888698 -0.346553
   20nxk  231.329349  21.354105 4462938    231.3293   21.35416 J-c-o-ztfg-ztfr      2D    F19        None  37.900678  0.148577   0.08469  0.085147  0.000006  231.329349  21.354105  0.059555    0.998         0.609               0.998  0.501       0.929             0.501  59042.009287  0.382708  0.000675  0.000031  0.558549  0.482718 -0.074709  0.033018  380.308075   67.120281  0.057061
   20obe   24.191333  -11.73425  962365   24.189296 -11.735278           J-c-o      2D    F19        None  36.241378  0.146622  0.043498  0.042559  0.000131   24.191333  -11.73425   0.02371    0.983         0.038               0.983  0.543       1.485             0.543  59047.396964  0.229537  0.002155  0.000101  0.676931  0.234062  0.043806  0.039688  177.123272   72.034415 -0.031783
   20ocv  266.653852  20.504725 1629162   266.65232   20.50392 J-c-o-ztfg-ztfr     1D3    F19        None  37.097958  0.124833   0.06216  0.061932  0.000003  266.653852  20.504725  0.093967    0.999         0.996               0.999   0.48       0.548              0.48  59048.798701  0.266119  0.000813   0.00003  0.117518  0.323618  0.081493  0.030437  262.779537   70.655307 -0.019264
   20oms  324.545762   6.741035   67077    324.5475    6.74219 J-c-o-ztfg-ztfr      2D    F19        None   37.23094  0.090747  0.065038    0.0639  0.000013  324.545762   6.741035  0.030579    0.986         0.833               0.986  0.658       0.832             0.658  59050.046984  0.211587  0.001194  0.000031  0.579267  0.221272 -0.059506  0.023782   279.37526   68.570249  0.040806
   20pst   18.300167   2.283839  212683   18.298746   2.283822 J-c-o-ztfg-ztfr      2D    F19        None   36.39327  0.090988  0.046035  0.044971  0.000193   18.300167   2.283839  0.036953    0.815           0.0               0.815  0.841       3.383             0.841  59064.196194  0.108177    0.0022  0.000061 -0.268925  0.143036 -0.039889  0.022644  189.956428   70.974023 -0.003713
   20qic    3.773333  43.343289 9005050     3.77213   43.34255 J-c-o-ztfg-ztfr     1D3    F19        None  36.314321  0.075671  0.049491   0.04853  0.000003    3.773333  43.343289  0.075462      1.0         0.075                 1.0  0.553       1.189             0.553  59071.168461   0.09205  0.002519  0.000058  0.451246  0.114551 -0.033725  0.019333  183.174179   79.427455 -0.253556
   20qlr  262.220417  57.918119 9005051   262.22192   57.91773 J-c-o-ztfg-ztfr     1D3    F19        None  37.182296  0.093091  0.064867  0.064691  0.000003  262.220417  57.918119  0.043124      1.0         0.723                 1.0  0.576       0.907             0.576  59072.105739  0.204292  0.000794  0.000021   0.76291  0.249862  0.087643  0.023815  273.186452   70.991879 -0.033847
   20qqn  356.320997  21.358839 1648378   356.32008   21.35881 J-c-o-ztfg-ztfr     1D3    F19        None  35.057688  0.073608  0.026352  0.025166   0.00002  356.320997  21.358839  0.155833      1.0         0.047                 1.0    0.5        1.26               0.5  59078.683222  0.098109   0.00403  0.000089  0.425293  0.104115   0.17832  0.019482  102.692226   73.467344 -0.046946
   20rgz  273.004417  51.724581 2398983   273.00588   51.72478 J-c-o-ztfg-ztfr      2D    F19        None  35.159576  0.100396  0.027721  0.027406       0.0  273.004417  51.724581  0.041389      1.0         0.048                 1.0  0.529       1.281             0.529   59089.30277  0.105497  0.002413  0.000078  0.103107  0.122841  0.295591  0.025074    107.6255   76.338893 -0.132008
   20sjo   66.591458 -10.098811   15090   66.585625 -10.098444 J-c-o-ztfg-ztfr     1D3    F19        None  35.397499  0.080827  0.031269  0.031059  0.000019   66.591458 -10.098811  0.065965      1.0         0.009                 1.0  0.527       1.419             0.527  59107.475098  0.112252  0.004314  0.000109 -0.616388  0.107496  0.023612  0.020692  120.088025   77.536681 -0.171526
   20skp   20.694558   10.03135 9005052    20.69457    10.0324 J-c-o-ztfg-ztfr     1D3    F19        None   36.96817  0.101301  0.058583  0.057541  0.000005   20.694558   10.03135  0.057842    0.677         0.306               0.677  0.917       1.077             0.917   59106.44701  0.248354  0.000999  0.000032  0.043295  0.213897  0.051989  0.025753  247.533497   69.688473  0.015959
   20smn  271.973363  30.571641   61434  271.972137  30.570947 J-c-o-ztfg-ztfr     1D3    F19        None  37.372064  0.149713  0.070963  0.070629  0.000001  271.973363  30.571641  0.059938    0.949         0.149               0.949  0.693        1.21             0.693  59105.386529  0.391198  0.000652  0.000031  0.681022  0.481121  0.091799  0.031976  298.134904   71.021783 -0.044459
   20svo   40.633471   -0.96314 4136229   40.632663  -0.963639 J-c-o-ztfg-ztfr      2D    F19        None  36.265777   0.08192  0.038747  0.038006  0.000007   40.633471   -0.96314  0.033512      1.0           0.0                 1.0  0.428       1.896             0.428  59113.205556  0.152279  0.002668  0.000063  0.392012  0.146204 -0.039775   0.02131  179.124665   63.609483  0.246051
   20szr  347.387917  15.659269   70585  347.393554  15.654775 J-c-o-ztfg-ztfr     1D3    F19        None  35.101224  0.073035   0.02528  0.024057  0.000007  347.387917  15.659269  0.180591      1.0         0.017                 1.0  0.357       1.351             0.357  59117.744383  0.095786  0.004417  0.000099  0.342263  0.110006  0.134801  0.019011  104.771885     68.8377  0.096119
   20tap  341.055804 -18.178279  164224  341.054412 -18.177361 J-c-o-ztfg-ztfr      2D    F19        None  36.637655  0.103615  0.053751  0.052638  0.000117  341.055804 -18.178279  0.029982    0.938         0.388               0.938  0.732       1.042             0.732  59111.459044  0.218623  0.001259  0.000036 -2.539299  0.227805 -0.017322  0.027158   212.58417   74.231212  -0.11351
   20tce   45.470542  16.992881 3650105    45.47217   16.99406           J-c-o     1D3    F19        None  37.143162  0.215155  0.061368  0.060695  0.000004   45.470542  16.992881   0.15585    0.789           0.0               0.788  0.757       2.295             0.757  59116.169119  0.354022  0.001475  0.000109  0.168963  0.510111 -0.115086  0.051513  268.307284   67.817689  0.070797
   20tgi    34.38124  10.547321 9005054    34.38112   10.54734 J-c-o-ztfg-ztfr      2D    F19        None  37.799763  0.153865  0.084113  0.083255      <NA>    34.38124  10.547321  0.064491      1.0           1.0                 1.0   0.46       0.493              0.46  59113.420119  0.280966  0.000513  0.000022 -0.749493   0.47313 -0.006818  0.035718  363.038358   68.751229  0.005246
