# model=snpy_ebv_model2
# h=70.70068977377682
# N = 357
# RMS = 0.1648951123950165
# WRMS = 0.15175129721248223
# NMAD = 0.12568898587686875
# STD = 0.1648742524152819
# STD(logH0) = 0.032943281713634406
# rchisquare = 2.6649145015205455
# sigma_int = 0.12141
TNS_name          RA        Dec     PGC       galRA     galDec          bandpasses variant redlaw  calibration         DM      e_DM     z_hel     z_cmb       e_z          ra        dec     MWebv  fitprob  fitprob_data  fitprob_data_model  rchi2  rchi2_data  rchi2_data_model          Tmax    e_Tmax  rchisquare        st      e_st   EBVhost  e_EBVhost        dist         h0  resid_DM
   19bky  226.406833  21.374461 9005003  226.407317  21.375212     J-c-o-ztfg-ztfr     1D3    F19            6  37.275182  0.089765  0.063438  0.063981  0.000022  226.406833  21.374461   0.05421    0.943         0.785               0.942  0.666       0.814             0.667  58557.358168  0.430798    0.703321  1.201938  0.039022  0.002241   0.067114  285.125747  67.272168  0.005284
   19blm  129.834118  17.188046 9005004  129.834901  17.188418     J-c-o-ztfg-ztfr     1D3    F19            6  37.728797  0.099639   0.07074  0.071621      <NA>  129.834118  17.188046  0.025145    0.873         0.837                0.87  0.724       0.757             0.727  58551.513517  0.485942    0.801106  1.079081  0.050571  0.054029   0.074118   351.36571  61.108679  0.202559
   19bse  141.510459  18.940156 9005005  141.510513  18.940217          J-c-o-ztfr     1D3    F19            6  35.505298  0.085418  0.028426   0.02942      <NA>  141.510459  18.940156  0.033792    0.402         0.149               0.392  1.044       1.281             1.051  58565.931563  0.410601    1.022252  1.101141  0.036617 -0.061474    0.06317   126.20005  69.887593 -0.021115
   19bus  217.357109   16.68206 1514443  217.358271  16.681503     J-c-o-ztfg-ztfr     1D3    F19            6  37.910337  0.086649  0.082327  0.083049   0.00001  217.357109   16.68206  0.024874      1.0         0.999                 1.0   0.37       0.447              0.37  58567.831924  0.569088     0.40307  1.205265  0.038322 -0.040265   0.064292  382.003521  65.175642  0.044386
   19dfa  149.749375  17.818719   28838   149.75094   17.81714 J-asg-c-o-ztfg-ztfr     1D3    F19            6  35.291617  0.091317  0.025459  0.026526  0.000022  149.749375  17.818719  0.033483      0.0           0.0                 0.0  2.439       2.547              2.44  58597.571825  0.406906    2.214784   0.96857  0.034627  0.187309   0.062361  114.372973  69.528739 -0.005069
   19dpu  196.076833   33.47105 4353541  196.078208  33.469972     J-c-o-ztfg-ztfr     1D3    F19            6   37.40784  0.081045  0.066817  0.067638      <NA>  196.076833   33.47105  0.012142    0.999         0.998               0.999  0.492       0.513             0.492  58600.227275  0.394927    0.452239  1.060287  0.033912 -0.024874   0.061631  303.087514  66.902772   0.01202
   19drp  215.510884  30.067006 1888906  215.510546  30.066564     J-c-o-ztfg-ztfr      2D    F19            6  38.137897  0.105365  0.085226  0.085867  0.000027  215.510884  30.067006  0.019361    0.994         0.992               0.994  0.518       0.529              0.52   58599.25685  0.571877    0.582321  0.903369  0.059962 -0.047833   0.068065  424.208504  60.683368  0.194902
   19dwd  160.727531  21.624759 1653857  160.726496  21.623339 J-asg-c-o-ztfg-ztfr     1D3    F19            6  36.665224  0.086763  0.051225  0.052304  0.000007  160.727531  21.624759  0.023027    0.306         0.271               0.305  1.099       1.123               1.1  58610.871646  0.402078    1.028312   1.05832  0.039015 -0.016581   0.064301  215.300373   72.83025 -0.147407
   19dwq  223.565125   4.792989   53259    223.5598    4.79439     J-c-o-ztfg-ztfr     1D3    F19            6  35.429813  0.080678   0.02755  0.028227  0.000007  223.565125   4.792989  0.037132    0.322         0.087               0.322   1.08       1.275              1.08  58609.862593   0.37745    0.891417  0.990618  0.031844 -0.068098   0.060997  121.888463  69.425907  -0.00545
   19dwz  238.672073  -30.64721  714674  238.673812 -30.646992           J-asg-c-o     1D3    F19            6  36.580866  0.089668   0.04608  0.046502  0.000003  238.672073  -30.64721  0.129237    0.543         0.523               0.542  0.943       0.958             0.944  58607.066704  0.583731    0.952516  0.949444  0.046981   0.05018   0.068682  207.096723  67.316666  0.031476
