bps_used variant success reddening_law gmax e_gmax Jmax e_Jmax st e_st rmax e_rmax Tmax e_Tmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 18.999380366175888 0.11305466873649249 None None 1.0565721421318077 0.10890994620751616 19.004170973045735 0.08382253386422213 59331.069796924035 0.7371693722513791 0.682 0.68 0.849 0.851
J-c-o 1D3 True O94 18.995394588776236 0.10905607638574687 19.56529824789425 0.08160114019734346 1.0528419578068995 0.10364052475500185 19.00048536508358 0.08106138768431945 59331.092118650755 0.701172274117741 0.654 0.651 0.888 0.889
