bps_used variant success reddening_law calibration Tmax e_Tmax DM e_DM st e_st EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 59136.80947224211 1.0768841963984699 37.63858790725303 0.22225785280380694 1.0269822734451644 0.12631241953548172 0.20510118622254797 0.10931441253238108 0.654 0.653 0.821 0.822
J-c-o 1D3 True O94 0 59137.00240289939 0.816827009032064 37.60242086209527 0.12700066964909815 1.0188947870153608 0.10231906584345551 0.22512371072055506 0.06902787363093525 0.558 0.557 0.924 0.924
