bps_used variant success reddening_law Jmax e_Jmax st e_st rmax e_rmax Vmax e_Vmax Tmax e_Tmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  False F19 None None None None None None None None None None None None None None
c-o  False O94 None None 1.0 0.03 17.352747351048762 0.022 17.262747351048763 0.019 59477.231807046235 0.34 None None None None
J-c-o 1D3 True F19 17.887109731737276 0.05031717730359058 1.493747060973609 0.08760468749300143 18.0670804706042 0.05604905236708198 18.332266864385527 0.08204984844959531 59473.903070375294 0.8405197901722958 0.278 0.276 0.893 0.893
J-c-o 1D3 True O94 17.888308202915027 0.05031635831822758 1.4937620523786166 0.08758587628943353 18.067652618721247 0.05603919197902343 18.333910685893777 0.08202286285818453 59473.90227152265 0.8403885228130591 0.278 0.276 0.893 0.893
