bps_used variant success reddening_law Jmax e_Jmax st e_st rmax e_rmax Vmax e_Vmax Tmax e_Tmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True F19 None None 0.8774032152541338 0.07498282066085286 16.656049472142044 0.04797443994439235 16.634372347908176 0.06385994943621562 59120.30448990543 0.6661008830728439 5.577 5.391 0.0 0.0
c-o  True F99 None None 0.8772375671774258 0.074931488907465 16.658642456848035 0.04795910407866516 16.63566366372138 0.06383059307753179 59120.30469068093 0.6658936995395834 5.578 5.391 0.0 0.0
c-o  True O94 None None 0.8773945368406899 0.07498435300127308 16.656133965212007 0.047975144419352994 16.634563835881575 0.06386222750608089 59120.30394634221 0.6661777565724645 5.578 5.392 0.0 0.0
J-c-o 1D3 True F19 16.90780618492408 0.0813360722594837 1.189201060523281 0.07597112317416703 16.753790378172493 0.046436435642809255 16.737039054752078 0.049517179941273005 59118.144685915504 0.6518359601573143 5.696 4.665 0.0 0.0
J-c-o 1D3 True O94 16.90793557066164 0.09266100379933787 1.1891994113172242 0.08844165735048393 16.75388361428981 0.05348374879009499 16.737227705344054 0.05772688608988623 59118.1444003836 0.7450500447435632 5.696 4.665 0.0 0.0
J-c-o 2D True F19 17.027474154191356 0.09170935347522424 1.189100432641366 0.07648116139884323 16.751265736698787 0.04582636397631151 16.74085379164307 0.04876822233812791 59118.15550924314 0.6653019017684109 4.569 4.292 0.0 0.0
J-c-o 2D True F99 17.02895770378901 0.1055389218985306 1.1890985426949563 0.0890654199041064 16.753866867733908 0.052732296377237683 16.74222644608173 0.0568189736209939 59118.15515371004 0.7618085973934582 4.569 4.293 0.0 0.0
J-c-o 2D True O94 17.027604744175612 0.10553197231098681 1.1890998039487404 0.08906513160795411 16.751366261343186 0.052730990658858126 16.741044841831005 0.0568141652533619 59118.155293707205 0.7617777203601622 4.569 4.292 0.0 0.0
J-c-o dehvils True F19 16.990996942463234 0.0772826779637709 1.1890996273616612 0.07326579293589246 16.749084065201867 0.04548917268930941 16.73492296432382 0.0483900041754321 59118.00064513712 0.6333828096891845 4.681 4.223 0.0 0.0
J-c-o dehvils True O94 16.991123337977257 0.0875924826496895 1.1890993156520395 0.08513596034172276 16.74917968578705 0.05231410515978771 16.73511319782144 0.05635222737642266 59118.00035626351 0.7220719943108741 4.681 4.223 0.0 0.0
