bps_used variant success reddening_law calibration Tmax e_Tmax DM e_DM st e_st EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 59299.56942681768 0.7257388797909226 36.82140679591687 0.18487112865475283 0.7937740623563977 0.06057669346758718 -0.0870941822985615 0.1190638022845343 0.429 0.426 0.98 0.98
J-c-o 1D3 True O94 0 59299.822244601004 0.6395635090464102 36.70358222235829 0.14086556316786866 0.753985744111238 0.056329213200065155 -0.0664598931407076 0.12262190843241616 0.495 0.484 0.966 0.97
