bps_used variant success reddening_law gmax e_gmax Jmax e_Jmax st e_st rmax e_rmax Vmax e_Vmax Tmax e_Tmax Bmax e_Bmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True F19 None None None None 0.9477708692400417 0.0439373458092639 17.36707910410891 0.03154432314854588 17.2975877849374 0.04073060517306746 59063.9953982784 0.43753372551814057 None None 0.868 0.828 0.613 0.662
c-o  True F99 None None None None 0.9477637761318964 0.04393296842829847 17.371873260278445 0.031540571950171 17.30010855677768 0.040722742082124966 59063.994422453026 0.4375488152772462 None None 0.867 0.827 1.0 1.0
c-o  True O94 None None None None 0.9478013750012314 0.04393811080717303 17.367259660599206 0.03154407696289292 17.297990235463107 0.04072986396162949 59063.99455045506 0.4375603036468666 None None 0.868 0.828 0.613 0.662
c-o-ztfg  True F19 None None None None 0.9636554402879328 0.03191219715734192 17.385406513676145 0.024852089742618128 17.3047915750286 0.025641211266967237 59063.94434081748 0.3517249498882433 17.2784248760491 0.017688501756903275 0.432 0.412 0.999 1.0
c-o-ztfg-ztfr  True F19 None None None None 0.9784070179293408 0.03155519965954039 17.357125374149227 0.023451473219308704 17.321877492824704 0.02706590191815524 59063.88928452088 0.3513543926613204 17.28689853662294 0.01779655407615907 0.633 0.585 0.993 0.998
c-o-ztfg-ztfr  True O94 None None None None 0.9783968571237185 0.032032513523451524 17.357380724215023 0.02389325016803835 17.322221472631497 0.029161282385665108 59063.889141839376 0.3548793223069133 17.286913191940357 0.01927425667874845 0.632 0.584 0.993 0.998
c-o-ztfr  True F19 None None None None 0.9804651013921152 0.0327877040387508 17.35706528641317 0.024056133836245712 17.322793741196822 0.029129862850027055 59063.866520104144 0.36700835655502434 None None 0.765 0.704 0.877 0.935
c-ztfg-ztfr  True F19 None None None None 0.9833169633880916 0.03137173256882508 17.334342617874608 0.023442761947036417 17.33702958927446 0.025492228851629547 59063.9923568943 0.3490724346040909 17.278237940308657 0.016823315492070324 0.477 0.433 1.0 1.0
J 2D False O94 None None None None None 0.03 None None None None None 0.34 None None None None None None
J-asg-c-o-ztfg-ztfr 2D True F19 17.247536736539605 0.045565056350031254 17.86214182744094 0.05020417651045946 0.979140029437045 0.031630684369394244 17.353334834706835 0.023684933662331917 17.3256454941936 0.02847515709797035 59063.81114635429 0.35173347356064444 17.280669906500943 0.018612481797337162 0.767 0.705 0.936 0.977
J-c-o 1D3 True F19 None None 17.83079150479572 0.04783964413935573 0.946833439156726 0.03441599853388847 17.35973610089377 0.027810603523983304 17.290555404245385 0.03113374432647176 59063.6908141916 0.36693180500402295 None None 0.987 0.857 0.475 0.649
J-c-o 1D3 True O94 None None 17.831034353120362 0.04922148895206016 0.9468207398821162 0.035953702355618365 17.359906123740632 0.029723587110379746 17.29092054296835 0.03465062822786839 59063.69049914125 0.3766697813108475 None None 0.987 0.857 0.476 0.649
J-c-o 2D True F19 None None 17.82443502331566 0.05250707985164081 0.9516728013885015 0.03621663670999926 17.360430707336945 0.0283118801723845 17.296646332191532 0.03256662909354079 59063.705211329994 0.3822119406347575 None None 0.911 0.849 0.577 0.659
J-c-o 2D True O94 None None 17.824686639803772 0.05540117514769243 0.951673407138123 0.038317915671730866 17.360603304727302 0.030370106651274056 17.297022474003747 0.036423641225900534 59063.70472183803 0.3970997259762287 None None 0.91 0.849 0.578 0.66
