bps_used variant success reddening_law gmax e_gmax Jmax e_Jmax st e_st rmax e_rmax Tmax e_Tmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 18.210693619014098 0.09137654075992922 None None 0.983026111858176 0.0730169808553104 18.3649558592571 0.05483965602786786 59126.04418691284 0.6393800086264012 0.57 0.567 0.88 0.882
J-c-o 1D3 True O94 18.218631025868355 0.09131420926930474 18.878679187419745 0.06800881136978561 0.9828641568521211 0.07379879894742644 18.359495150839546 0.055111162453873534 59125.84474832171 0.6433237004054836 0.585 0.58 0.889 0.893
