bps_used variant success reddening_law rmax e_rmax Tmax e_Tmax Vmax e_Vmax st e_st rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  False O94 19.15596905708508 0.13722250483418824 58822.47269417552 0.3400014759867082 19.109885254497414 0.06901407568301757 3.5987661234917687 0.16821649210774753 None None None None
J-c-o 1D3 False O94 19.28053420842469 0.022 58848.69924319416 0.34 19.412337300370787 0.019 2.808702713940957 0.03 None None None None
