bps_used variant success reddening_law gmax e_gmax Jmax e_Jmax st e_st rmax e_rmax Tmax e_Tmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 19.02159493394665 0.1927775416350974 None None 1.0492367319218359 0.4260858249683557 18.909589270255697 0.15145896957344085 59299.97558078252 1.5875250479263865 0.656 0.654 0.709 0.711
J-c-o 1D3 True O94 18.922690963539992 0.16954885542043543 19.24825567459819 0.17610302460079627 0.8900287605271723 0.1497359152784005 18.840680307258477 0.09481239415061499 59299.71959765852 0.6687734388813737 0.547 0.545 0.841 0.842
