bps_used variant success reddening_law calibration Tmax e_Tmax DM e_DM st e_st EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 59352.99170363092 0.436969302145857 36.432925899689835 0.1421601825493945 1.0482524879960253 0.04838364982182525 -0.1998293167196051 0.06953228903667419 0.883 0.862 0.61 0.637
c-o  True F19 6 59353.145288091306 0.4845234655113259 36.3273188817998 0.15295472687435815 1.0427126055500615 0.0501970893845276 -0.2089085238323807 0.07290260059714915 0.931 0.912 0.543 0.568
c-o-ztfg  True F19 6 59353.085886024106 0.40626350526123445 36.23238578036161 0.11601540917118774 1.0853960843546238 0.055154938779673736 -0.10854965679290099 0.06706359697176976 1.496 1.457 0.016 0.023
c-o-ztfg-ztfr  True O94 0 59353.01200332568 0.38731497925955005 36.26837136292058 0.100122290331101 1.093593914609023 0.044796200968877486 -0.08020873603574524 0.06430787595232713 1.049 1.02 0.36 0.43
c-o-ztfg-ztfr  True F19 6 59353.04457461967 0.3856564416333858 36.247301403278726 0.10435444651600512 1.0820874150624828 0.04320334031408116 -0.11806682056589764 0.06309299324952763 1.107 1.077 0.24 0.299
c-o-ztfr  True F19 6 59352.990146796015 0.4309270870163073 36.30890112419155 0.12234768173020946 1.0698114121590132 0.0423844514803532 -0.17805304261691987 0.0664928083861765 0.762 0.738 0.901 0.924
c-ztfg-ztfr  True F19 6 59353.35964546859 0.397671418310619 36.22855667492966 0.11194386112057172 1.096060877666809 0.053395792060460724 -0.09038441357489586 0.06529886170392019 1.517 1.465 0.005 0.009
J-c-o 1D3 True O94 0 59353.11596633914 0.4434316626253354 36.328987013655734 0.11947404660325336 1.0229209138886781 0.04671839901447557 -0.1621819204394427 0.06673780379098221 1.314 1.197 0.135 0.227
J-c-o 1D3 True F19 6 59353.17191392486 0.43366509711901197 36.21494040742551 0.11861722046643955 1.0109538052478921 0.04469497600816998 -0.16971730870999796 0.06753040494278835 1.287 1.164 0.153 0.26
J-c-o 2D True F19 6 59353.13377118622 0.4312074854942727 36.22996279877731 0.12242569288246054 1.01372123562893 0.044467431821330575 -0.17690449381837992 0.06794021146408116 1.113 1.066 0.316 0.374
J-c-o dehvils True F19 6 59353.159472774096 0.4380924014590969 36.16845736982587 0.10560821431433424 1.0055853014377296 0.044411047591748645 -0.14429436849954544 0.06700877351360023 1.42 1.296 0.079 0.147
J-c-o-ztfg 1D3 True F19 6 59353.23405931124 0.4054472714339839 36.21487322386278 0.1043487533000766 1.0652692591559274 0.048216293241672134 -0.11219197500308363 0.0649896057895975 1.689 1.562 0.002 0.006
J-c-o-ztfg 2D True F19 6 59353.267539864835 0.406897139081656 36.218549985445996 0.10571853016978347 1.0691870017553649 0.04965869693568063 -0.11022916219039754 0.0655050213056668 1.647 1.578 0.002 0.005
J-c-o-ztfg-ztfr 1D3 True O94 0 59353.17182297292 0.3870173322797339 36.25482129979244 0.0965129963903346 1.0777311303043895 0.04223591642147274 -0.07715357829310963 0.06311282017864105 1.221 1.114 0.08 0.22
J-c-o-ztfg-ztfr 1D3 True F19 6 59353.195467219855 0.3848521234159361 36.21857285858999 0.09831528253968205 1.0663648497645057 0.04011574808684822 -0.11069965721851494 0.06270465286491922 1.273 1.189 0.045 0.111
J-c-o-ztfg-ztfr 2D True F19 6 59353.186944840956 0.3851037083341692 36.224200593132785 0.09917258322169066 1.0693884838961736 0.04056866280121592 -0.11165698807617573 0.06279407023959212 1.212 1.165 0.088 0.141
J-c-o-ztfr 1D3 True F19 6 59353.157320386024 0.4169387844680074 36.23934848626852 0.10958415280239583 1.0399908283660193 0.03840086874440112 -0.15938581953182773 0.06521607742597924 0.966 0.896 0.548 0.699
J-c-o-ztfr 2D True F19 6 59353.07677301976 0.40190745594549965 36.249718603608585 0.11108398004929476 1.0451433788834088 0.03843126096543067 -0.16209288372006964 0.06524674611906497 0.873 0.837 0.744 0.809
