bps_used variant success reddening_law gmax e_gmax Jmax e_Jmax st e_st rmax e_rmax Tmax e_Tmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 18.340422244229774 0.05576481640979727 None None 1.0264306368800244 0.06791229662582508 18.570526030862336 0.05119400142542236 59330.3226250895 0.666464080153633 0.467 0.462 0.984 0.985
J-c-o 1D3 True O94 18.34335514402963 0.05387412455411869 19.062710314853025 0.0809904645130916 1.0290258048039829 0.06535547676295914 18.56738625719398 0.049134718009501574 59330.30048758219 0.6258256571327188 0.437 0.432 0.992 0.993
