bps_used variant success reddening_law gmax e_gmax Jmax e_Jmax st e_st rmax e_rmax Vmax e_Vmax Tmax e_Tmax Bmax e_Bmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
J-c-o 1D3 True F19 None None 17.781408160417715 0.06530287200161483 1.0072043917954299 0.059703207481269685 17.247447048717284 0.046300170028448696 17.130770632171867 0.05461049659075136 59244.86169057174 0.8451071155305019 None None 2.509 2.01 0.001 0.011
J-c-o 1D3 True O94 None None 17.78179737801923 0.06990266090046113 1.00719266763636 0.06539121984724064 17.24775003439737 0.05086107457266127 17.131306423720467 0.06068114665980704 59244.86180819252 0.93488736457352 None None 2.51 2.011 0.001 0.011
J-c-o 2D True F19 None None 17.761333268945506 0.06552789031945058 1.0148478209550627 0.05351382327495675 17.245782885491547 0.04048185514366564 17.124718825519114 0.04873242883234106 59244.677346392236 0.8115881163699105 None None 1.394 1.268 0.14 0.213
J-c-o 2D True O94 None None 17.76172616065121 0.07016698425329794 1.014838229599442 0.05820587555560833 17.246089009967427 0.044124807524807075 17.12525403292529 0.05396638272817335 59244.67744872421 0.8964408463874333 None None 1.394 1.269 0.14 0.212
J-c-o dehvils True F19 None None 17.736267995951877 0.05382513208175229 1.0003415932102924 0.051464418679741705 17.213428849020477 0.04513834361967898 17.06519720641408 0.049023083229102524 59243.896935982455 0.7058801653451172 None None 2.501 1.858 0.001 0.022
J-c-o dehvils True O94 None None 17.736642200689044 0.05615999938156992 1.000297706376557 0.055815104053617406 17.213740349304942 0.04951945711007383 17.065713092942165 0.05429753331315792 59243.89711320158 0.77489307371761 None None 2.502 1.858 0.001 0.022
J-c-o-ztfg-ztfr 1D3 True O94 None None 17.81859609425189 0.057531882286322125 1.0761805533187863 0.047973957682856824 17.27475946174731 0.035403313886434175 17.249963678332676 0.037921046758938357 59245.05188951872 1.025416621051146 17.111374101732647 0.07883533015528446 1.165 0.983 0.226 0.499
J-c-o-ztfg-ztfr 2D True F19 None None 17.7973497763784 0.05828383596252152 1.0821755763247876 0.045260621525423185 17.275996574744447 0.031837331291458285 17.243974619241346 0.033357614449265396 59244.94986075615 0.9874757362262332 17.102424612575575 0.07328613228104153 0.784 0.722 0.822 0.894
J-c-o-ztfg-ztfr 2D True F99 None None 17.801575676995995 0.059637941184480875 1.082321279749768 0.04664080506193291 17.28329500235949 0.03273168637205004 17.247821841021683 0.034566275980071004 59244.95054435998 1.010840378250024 17.104690701987646 0.07498072889811554 0.785 0.723 0.821 0.893
J-c-o-ztfg-ztfr 2D True O94 None None 17.797675263940615 0.0596161425412197 1.0819039602547686 0.04657763564231288 17.276175637532305 0.03271893779167624 17.244220148477115 0.034547062457524313 59244.94925125207 1.0105026117111597 17.10232444531038 0.0749584832416854 0.784 0.722 0.823 0.894
J-c-o-ztfg-ztfr dehvils True O94 None None 17.78521143970434 0.05438603603954349 1.1908519185333661 0.04349341965396404 17.302822744603642 0.03176628277394693 17.24510735348902 0.03462676683838244 59244.198602215365 1.1191257464393143 17.04924358079091 0.07866389882871232 1.33 0.895 0.086 0.652
J-ztfg-ztfr 1D3 True O94 None None 17.808373919377285 0.062478711463518355 1.1914938802945565 0.06757831018629229 17.335956232764325 0.06556887338229718 None None 59245.41212000741 1.4054291080462156 17.18295427997568 0.09062570291696127 1.607 1.082 0.033 0.356
J-ztfg-ztfr 2D True O94 None None 17.780725949243763 0.06133016765976158 1.0957866442017028 0.07769133711329919 17.27847431263619 0.07583372382302463 None None 59245.32927177109 1.0797986076098554 17.17594909140204 0.08323319647332829 0.814 0.707 0.717 0.844
J-ztfg-ztfr dehvils True O94 None None 17.747819419852842 0.05313377307880729 1.222680416586036 0.06078252929575893 17.327966051370904 0.059517845252779866 None None 59244.530429484446 1.1514929865236412 17.146908290078613 0.0791813843625092 1.421 0.787 0.087 0.752
o-ztfg-ztfr  True F19 None None None None 1.066503254494578 0.06082115396748197 17.258274398792565 0.03065133517633277 None None 59244.86318846938 1.0940179054921817 17.132214589910173 0.07272502885166286 0.593 0.56 0.956 0.97
ztfg-ztfr  True F19 None None None None 1.1993898295293315 0.05302341904011163 17.30734524477967 0.05149837601626971 None None 59244.493431774215 1.255110236586729 17.129886546304437 0.08041573593408047 0.386 0.339 0.992 0.997
ztfg-ztfr  True O94 None None None None 1.199389196564443 0.05302562465550811 17.307818192951732 0.05150419619393261 None None 59244.49204708654 1.2551918681819507 17.129809540139334 0.08042480400076149 0.386 0.339 0.992 0.997
