bps_used variant success reddening_law Jmax e_Jmax st e_st rmax e_rmax Vmax e_Vmax Tmax e_Tmax Bmax e_Bmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True F19 None None 0.5882882162858956 0.07999719429935427 18.85332256528538 0.04925290061542307 18.81029301912023 0.10722646636751552 58982.87450048376 0.8544417850928748 None None 0.392 0.39 0.991 0.992
c-o  True F99 None None 0.5881198400372608 0.07997685332993805 18.857953301838545 0.0492479205826025 18.812746974318323 0.10726182576461951 58982.873173768436 0.8543766290216699 None None 0.392 0.39 1.0 1.0
c-o  True O94 None None 0.5882739919380054 0.07998878309979689 18.85343085055555 0.04924821526998133 18.81070364680152 0.10722243180629333 58982.87439862042 0.8543752581769168 None None 0.392 0.39 0.991 0.992
c-o-ztfg-ztfr  True O94 None None 0.6471427917723154 0.035843143061306086 18.935002640848253 0.026412347635955 18.825796553750227 0.05354874195500822 58983.160571562024 0.36825463241972556 18.957425100685633 0.027913734306428524 0.261 0.259 1.0 1.0
J-c-o 1D3 True F19 19.017186358351417 0.05549419818862548 0.5843059807487037 0.04964418252761271 18.8546514381016 0.04332782374039359 18.844064300934054 0.07567998730185943 58983.78800664294 0.6100446570252922 None None 0.48 0.442 0.985 0.991
J-c-o 1D3 True O94 19.03533835128191 0.058305088709059386 0.5793975225268526 0.05250950104177214 18.866743482711794 0.047340917228218024 18.84884435268784 0.08439680322902249 58983.71563413437 0.6636964882820838 None None 0.41 0.386 0.995 0.997
J-c-o dehvils True F19 19.10712838134696 0.05903823761367871 0.5533568690133925 0.04582015581770379 18.83131157682151 0.03971421188687757 18.743029325470285 0.07636109537015832 58982.667451549285 0.6002800317151649 None None 0.34 0.336 0.999 0.999
J-c-o dehvils True O94 19.136431960510716 0.06444318043901358 0.5353674650549975 0.04922606962233337 18.846569806505872 0.0451238600086623 18.722319117441675 0.09238425637629663 58982.41574986211 0.683003643079417 None None 0.372 0.363 0.998 0.998
J-c-o-ztfg-ztfr 1D3 True O94 18.960685325923983 0.051190994504254406 0.632154468814306 0.035384357388627774 18.931700994920387 0.027179152226379556 18.829160414154266 0.057783165407849835 58983.24076882936 0.37156563100144036 18.94908387181986 0.029144141392882166 0.358 0.324 1.0 1.0
J-c-o-ztfg-ztfr dehvils True O94 19.101016077258862 0.05375531810916528 0.6249026253286217 0.03502459904402466 18.93144480086307 0.026636166479490696 18.80980294680915 0.05510933618323769 58983.146412968235 0.3684748424611589 18.943650387800545 0.02766197246692127 0.288 0.28 1.0 1.0
J-ztfg-ztfr 1D3 True O94 18.939901857536498 0.049938631808600815 0.6479950094202712 0.03480506121500842 18.943730217333343 0.027142848256748047 None None 58983.228484456675 0.3665899959543105 18.951252544966476 0.026773082276233037 0.331 0.285 1.0 1.0
J-ztfg-ztfr dehvils True O94 19.07989007608202 0.05111431360941867 0.6371041151796906 0.03401005477766492 18.94427019800448 0.026067815878171575 None None 58983.120259439645 0.36109311380255676 18.94223091708912 0.024201427870466447 0.228 0.217 1.0 1.0
ztfg-ztfr  True O94 None None 0.6641354518180254 0.03442392512119348 18.95120193879898 0.025618636539366142 None None 58983.13013703431 0.3598111846597769 18.959153935770768 0.02392977669564745 0.194 0.193 1.0 1.0
