bps_used variant success reddening_law gmax e_gmax Jmax e_Jmax st e_st rmax e_rmax Vmax e_Vmax Tmax e_Tmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
asg-o  True F19 12.219337189786543 0.03708369560386658 None None 0.6540873593867291 0.06908719107750556 12.305418763541734 0.042160614132268244 None None 59038.94905994677 0.46403292185385736 410.19 61.599 0.0 0.0
c-o  False F19 None None None None None None None None None None None None None None None None
c-o  False O94 None None None None 0.7325770290745124 0.04450244230878903 12.32407895570652 0.02496371729845255 12.310970381390595 0.027909224037746684 59038.84368965715 0.4044117488786095 None None None None
c-o  False F19 None None None None None None None None None None None None None None None None
c-o-ztfg  False F19 None None None None None None None None None None None None None None None None
J-asg-o 2D True F19 12.219304880082829 0.03580896718046195 12.5731209729923 0.19179157971803684 0.6548493736910015 0.0661864182147424 12.298694181974538 0.04092288471664931 None None 59038.950718656066 0.45559283693415925 453.386 57.431 0.0 0.0
J-c-o 1D3 False O94 None None 12.579141621463338 0.07013387094149444 0.7104489489981994 0.041522764395534026 12.31499963354685 0.02413236736818325 12.294989716267157 0.025821030686668446 59038.73633479041 0.39217480877328226 None None None None
J-c-o 2D False O94 None None 12.582581986886098 0.07001976924891783 0.7100843942482272 0.04152569357532714 12.314933195858854 0.024122059371666806 12.294793308046156 0.02580408026551047 59038.72981277142 0.3922659879362292 None None None None
J-c-o-ztfg 1D3 False O94 None None None None None None None None None None None None None None None None
J-c-o-ztfg 2D False F19 None None None None None None None None None None None None None None None None
J-c-o-ztfg 2D False O94 None None None None None None None None None None None None None None None None
J-o 1D3 True O94 None None 12.573361105028608 0.08699106865878406 0.6931538069152028 0.05136089160424762 12.284248934757583 0.02587412086644457 None None 59038.668604420964 0.4494148260867411 321.153 10.504 0.0 0.0
J-o-ztfg 1D3 False O94 None None None None None None None None None None None None None None None None
