bps_used variant success reddening_law gmax e_gmax Jmax e_Jmax st e_st rmax e_rmax Tmax e_Tmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 18.427776627915364 0.06686192546780922 None None 1.0626686453684038 0.1313988841199419 18.431172230728635 0.06864890937142085 59132.49290309876 0.3400006968169029 1.272 1.267 0.2 0.203
J-c-o 1D3 True O94 18.450908024341764 0.0782220351965442 19.151392109938904 0.13658029719272735 1.0389487224899903 0.1278926071822085 18.418590139358162 0.06846464620425143 59133.05196719167 1.483121399481728 1.103 1.1 0.341 0.345
