bps_used variant success reddening_law gmax e_gmax Jmax e_Jmax st e_st rmax e_rmax Vmax e_Vmax Tmax e_Tmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  False F19 None None None None None None None None None None None None None None None None
c-o  False O94 None None None None 0.2754599208951541 0.04338654581590071 17.29089748626047 0.0418742262786151 17.671360832459758 0.08896622979561018 58552.52859494688 0.47021975226628865 None None None None
c-o-ztfg  False F19 None None None None None None None None None None None None None None None None
c-o-ztfg-ztfr  True F19 17.568370544471858 0.08215839077959448 None None 0.30717292245788064 0.04159747555348156 17.530405658612903 0.03261947548948676 17.882774342314296 0.13942553941114855 58552.83105936853 0.7947956105465247 0.589 0.544 0.944 0.965
c-o-ztfg-ztfr  True O94 17.56848156634546 0.12328633772447481 None None 0.3072461222880018 0.04927524179428971 17.530599780007105 0.04607909595039653 17.882950376812417 0.2330137403610324 58552.83185539134 0.9568990717075762 1.136 1.06 0.325 0.389
c-o-ztfr  True F19 None None None None 0.3245951987025101 0.04098287449681485 17.47162705504589 0.029967367417377915 17.715871256650946 0.11420686551793545 58553.04832883771 0.7754661364456349 0.62 0.551 0.908 0.951
c-ztfg-ztfr  True F19 17.765416522011027 0.04806276316927658 None None 0.385696205531169 0.03988306256418808 17.54590796411973 0.037191474315922096 18.105641048626843 0.04163034716015768 58553.95438580883 0.713748634086004 0.508 0.48 0.886 0.904
J-c-o 1D3 True O94 None None 16.399616482678187 0.08972249921060489 0.36089153583311623 0.05343611696247854 17.612196967121648 0.08357341776552762 17.76311872471067 0.28014241241741755 58553.49827977812 0.8222017558835725 3.331 1.571 0.001 0.139
J-c-o-ztfg-ztfr 1D3 True F19 17.628412036211646 0.08819026810512344 16.41603704449111 0.06832305588740945 0.32666009317611494 0.04249221135497396 17.555568310809022 0.05083792658111572 17.838320920007362 0.1584391638416844 58553.23480760634 0.48567835150231475 14.562 11.707 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 17.628453849401815 0.12609508215184895 16.41615988267565 0.08324487191048852 0.32668611864790414 0.04953569530054331 17.555626962559316 0.046140806464860004 17.838482449731718 0.24771883911736967 58553.235234757805 0.9570859679125475 2.543 1.241 0.001 0.231
J-c-ztfg-ztfr 1D3 True O94 17.771176777849263 0.08044698485492895 16.298313066794055 0.07836438794397213 0.4249883785582489 0.043306327086427475 17.560725441375865 0.048390876692987014 18.23880587063671 0.07928170870253089 58553.75761122993 0.918840429466592 0.539 0.307 0.878 0.985
J-ztfg-ztfr 1D3 True O94 17.69891134861013 0.08727475493129845 16.285004641442622 0.0806012771131332 0.4236096550227291 0.04420038447055274 17.5113046624379 0.050924046544609754 None None 58553.586035558284 0.960502150215572 0.673 0.372 0.716 0.936
o-ztfg-ztfr  True F19 17.62711145892016 0.07333577578187517 None None 0.34523889842928435 0.04069330146958645 17.473796607026816 0.0292968898990544 None None 58553.41357250332 0.7616318468744899 0.662 0.599 0.873 0.922
ztfg-ztfr  True F19 17.703883397136348 0.046539440123400666 None None 0.3840982260105223 0.039304233491753396 17.500757235516307 0.03669574044787243 None None 58553.87023073394 0.7044843693527706 0.318 0.292 0.946 0.957
ztfg-ztfr  True O94 17.7039068878019 0.04841895723168996 None None 0.38409590760134893 0.03991815548254494 17.50091393380128 0.03730338251103332 None None 58553.87041412269 0.715601185607116 0.072 0.069 0.999 0.999
