bps_used variant success reddening_law gmax e_gmax Jmax e_Jmax st e_st rmax e_rmax Tmax e_Tmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  False O94 17.816041009007876 0.014 None None 3.9192589165573932 0.03 16.923803696705377 0.022 58645.63652516796 0.34 None None None None
J-c-o 1D3 False O94 17.55459917130465 0.014 15.080971567061983 0.044 23.43764118179289 0.03 None None 58566.91846821115 0.34 None None None None
