bps_used variant success reddening_law calibration Tmax e_Tmax DM e_DM st e_st EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
asg-c-o  True O94 0 59137.95002173719 1.1972143295434647 37.45781239230966 0.2304005379407318 1.0543168100572624 0.18738906348990275 -0.054040864502260956 0.13973998914398075 1.638 1.636 0.067 0.068
c-o  True O94 0 59137.16798904709 1.499214775940149 37.12271675348056 0.1626378440803449 1.3055972888768337 0.12163650987900818 0.21497122630978593 0.0936666322142908 0.467 0.466 0.924 0.925
c-o  True F19 6 59137.170182715105 1.4989940189260182 37.26688566025498 0.1419854327219715 1.3054706703444152 0.12165274345906521 0.2551680087000825 0.11738456871453308 0.468 0.466 0.924 0.925
