bps_used variant success reddening_law rmax e_rmax Tmax e_Tmax Vmax e_Vmax st e_st rchi2_data rchi2_data_model fitprob_data fitprob_data_model
asg-c-o  False O94 None None None None None None None None None None None None
c-o  True F19 18.238778100452183 0.04861501765039211 59137.17018307881 1.4989944875811338 18.283836991302294 0.06191252394712172 1.3054706180068683 0.12165277703891825 0.468 0.466 0.924 0.925
c-o  True O94 18.239117226238914 0.048593483540341646 59137.16798943294 1.4992147937395757 18.285139456422257 0.06187238895740567 1.3055972428425449 0.12163651459656825 0.467 0.466 0.924 0.925
