bps_used variant success reddening_law gmax e_gmax Jmax e_Jmax st e_st rmax e_rmax Vmax e_Vmax Tmax e_Tmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  False O94 None None None None None 0.03 None None None None None 0.34 None None None None
c-o  True F19 None None None None 1.031534805387263 0.03869789379212776 15.892126133112383 0.026101607587008212 15.846410541344799 0.02256738515848244 60079.52280983894 0.39582483654134454 2.2 1.942 0.003 0.011
c-o  True O94 None None None None 1.0314200361625276 0.03869527251810401 15.892538490043222 0.026102939622136986 15.847090391214632 0.022571226825246662 60079.52124947726 0.3958638894772527 2.202 1.944 0.003 0.011
c-o-ztfg  True F19 15.835549905135418 0.020078144273562953 None None 0.9674711329934058 0.03218661133426824 15.818640446904391 0.0236040741943055 15.738611480297344 0.0207341190918834 60079.55276550511 0.3576200069371975 1.326 1.183 0.097 0.214
c-o-ztfg-ztfr  True F19 15.840182332011924 0.018825857686410492 None None 0.9634835569915124 0.031033401163463252 15.829005816472588 0.022880142805388408 15.748890932133833 0.020378404614834176 60079.75184251292 0.35112386252172 1.053 0.939 0.369 0.603
c-o-ztfg-ztfr  True O94 15.84006974375695 0.019503814131093086 None None 0.96351820823952 0.031199957436948 15.829683450362605 0.02302118930107174 15.749659713238877 0.020595902720368642 60079.74940136824 0.3529263764623071 1.053 0.94 0.368 0.602
c-o-ztfr  True F19 None None None None 0.9958378832876399 0.032103863816321625 15.871479578405546 0.023481092372926567 15.841283995698197 0.020993889657426115 60079.77367360531 0.3606567174886333 1.624 1.446 0.009 0.037
c-ztfg-ztfr  True F19 15.836441301230545 0.01785995599193655 None None 0.9484835326679328 0.030982568531799006 15.824143472036974 0.023397487126857495 15.741818746597295 0.020126914046752955 60079.90971415779 0.36221421862101005 0.706 0.632 0.921 0.968
J-c-o-ztfg-ztfr 1D3 True F19 15.841303651311268 0.018685347749799026 16.10574653441001 0.04826035937425347 0.9639760358142675 0.030938390162788834 15.834816245359113 0.022836155126823476 15.743302344727532 0.02033329640270228 60079.77206886246 0.34961014352059805 1.011 0.903 0.451 0.684
o  False O94 None None None None None 0.03 None None None None None 0.34 None None None None
o-ztfg-ztfr  True F19 15.853079144293938 0.020479042842919824 None None 0.975963608384981 0.031987157191508006 15.866035353567353 0.023353951082310212 None None 60079.70210839311 0.3568552170222975 1.399 1.27 0.034 0.097
o-ztfg-ztfr  True O94 15.852878331719088 0.02131784139068929 None None 0.9760534090154673 0.03228991342954412 15.866645469765512 0.023559789849982433 None None 60079.699417081145 0.35945331767499383 1.392 1.263 0.036 0.102
ztfg-ztfr  True F19 15.834760240639445 0.01745263900638923 None None 0.9525379967451988 0.03116754479274066 15.82611802562344 0.023301300178093228 None None 60079.72941967982 0.3630433953184907 0.564 0.509 0.982 0.993
ztfg-ztfr  True O94 15.834685373598555 0.017545113753191965 None None 0.9526332652033318 0.031202387246845074 15.827007981972779 0.023339146801348954 None None 60079.72812295735 0.363720468801665 0.565 0.51 0.982 0.993
