bps_used variant success reddening_law gmax e_gmax Jmax e_Jmax st e_st rmax e_rmax Vmax e_Vmax Tmax e_Tmax Bmax e_Bmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True F19 None None None None 0.961239207999652 0.04066100933464755 17.078005902928584 0.03353797894791854 17.04779924881219 0.047409712706612296 59148.62691018047 0.393284807290779 None None 0.765 0.741 0.708 0.735
c-o  True F99 None None None None 0.96115971191688 0.040632619985504194 17.084127521194137 0.03351113130433183 17.05091977028096 0.04734946926916953 59148.626679882844 0.3931417860675246 None None 0.763 0.739 1.0 1.0
c-o  True O94 None None None None 0.9612901959935626 0.040660131614243464 17.07822889138507 0.03353414694378946 17.048359649717096 0.047401801705067456 59148.62583506801 0.3932874232975763 None None 0.765 0.74 0.709 0.735
c-o-ztfg  True F19 None None None None 0.9463839939664691 0.03211509245680404 17.058507813825415 0.026194162010378212 16.9902062252753 0.030425956678240385 59148.199592212855 0.3552874391097732 17.161124339625054 0.01711656725577837 0.487 0.451 0.995 0.998
c-o-ztfg-ztfr  True F19 None None None None 0.9822385815428971 0.03222609475574099 17.060084622269933 0.02457813799646373 17.034992770097876 0.03312206120670451 59148.164743390946 0.3567607042347579 17.16476340067242 0.01827435353778705 0.732 0.684 0.932 0.964
c-o-ztfg-ztfr  True O94 None None None None 0.9822699403617764 0.032574230980239205 17.0603958400067 0.02497212820868033 17.035504185981683 0.034881459855467645 59148.16440733224 0.3594149076614933 17.164778040915156 0.019100844225313947 0.732 0.684 0.932 0.965
c-o-ztfr  True F19 None None None None 1.0097020368820082 0.03497866965944957 17.07432593787865 0.025946791344091828 17.106913340282976 0.03800533611836784 59148.42059794478 0.3805492712916853 None None 0.879 0.834 0.67 0.741
c-ztfg-ztfr  True F19 None None None None 0.9938857215289659 0.032631248047846756 17.040567759194854 0.02506971382608234 17.06479448920154 0.03265343372236552 59148.25298991433 0.35941442638826215 17.130330947039837 0.018076692135949313 0.664 0.617 0.952 0.974
J 2D False O94 None None 17.615017903180828 0.15261767666105264 1.1739038082458073 0.19540965730857485 None None None None 59149.14235825947 4.095345921230958 None None None None None None
J-asg-c-o-ztfg-ztfr 2D True F19 17.019692953864105 0.06199182760064273 17.619402803351182 0.06987538045648044 0.9834798017483211 0.03544666720941343 17.056515950238666 0.0282837583259772 17.030713144553275 0.04794404543988124 59148.22626224599 0.37847531139186685 17.1611504279364 0.025461383798365884 1.784 1.719 0.0 0.0
J-c-o 1D3 True F19 None None 17.69443622499175 0.06342690768963079 0.9416877684672059 0.043543548918018975 17.054257005567923 0.03677279611169535 17.03068380704702 0.05338550079945799 59148.27483171709 0.4055922464982475 None None 1.652 1.329 0.037 0.153
J-c-o 1D3 True O94 None None 17.694780273049048 0.06596044223084606 0.9417495273643153 0.0453097668002274 17.054501492174552 0.03858444897490372 17.031248079494627 0.056934603934993055 59148.27395452287 0.4149853765850699 None None 1.651 1.328 0.037 0.153
J-c-o 2D True F19 None None 17.59806664531904 0.061467556237575674 0.9545760443729362 0.04091297975235604 17.063232207378338 0.033941056475116596 17.040660387469536 0.04768889548419328 59148.3647471972 0.390849761701398 None None 1.079 0.963 0.364 0.503
J-c-o 2D True O94 None None 17.598402875884897 0.06377577134256603 0.954639391863359 0.042375910709356444 17.06347690387802 0.03545340784274149 17.041228172908028 0.050742815170869614 59148.36384802366 0.39826832330166856 None None 1.079 0.962 0.365 0.504
J-c-o dehvils True F19 None None 17.52481809597767 0.05347424121849744 0.9572943824443856 0.04023196050732072 17.06749494596174 0.033329647250116924 17.04848977462137 0.045957493877455874 59148.26914226533 0.37736694829053236 None None 1.142 0.954 0.299 0.514
J-c-o dehvils True O94 None None 17.52516678249034 0.05480944119956053 0.9573492410701965 0.04161167936067076 17.067728781556564 0.03477337929038068 17.049034236955993 0.04885391269974693 59148.268469904106 0.3829055377668782 None None 1.141 0.953 0.3 0.515
