bps_used variant success reddening_law Jmax e_Jmax st e_st rmax e_rmax Vmax e_Vmax Tmax e_Tmax Bmax e_Bmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True F19 None None 0.9821242335985579 0.03921218116936848 17.01227448100285 0.030016649381002184 16.891619244034306 0.03294541209957538 59053.378907683385 0.4646665742403874 None None 0.927 0.898 0.552 0.59
c-o  True F99 None None 0.9819192966234696 0.03918982828695618 17.02571761976982 0.029998887634481407 16.898538634440477 0.03291318104680857 59053.373483949945 0.4646002907391758 None None 0.925 0.896 1.0 1.0
c-o  True O94 None None 0.9821941235398353 0.03921274397567178 17.01277550492367 0.03001317702247211 16.89267320030301 0.032935182029296545 59053.37560504883 0.4647369173905957 None None 0.926 0.897 0.553 0.591
c-o-ztfg-ztfr  True O94 None None 0.9930244772548272 0.0330300159051773 16.987628402359768 0.025188936204412066 16.822101275450624 0.02641126589320082 59053.30967555484 0.36641579925348094 16.974964274449338 0.019073743310492556 0.706 0.676 0.957 0.972
J-c-o 1D3 True F19 17.639494205599433 0.06693316997048829 0.9604328717302878 0.037868643172545235 16.999936386971783 0.03178683497310712 16.866070857096894 0.032203137732291026 59053.699730201166 0.377540922910072 None None 2.215 1.65 0.0 0.02
J-c-o 1D3 True O94 17.64232660899632 0.07323511392788853 0.960434493189472 0.04025396427739792 17.001856458442585 0.03454668205032324 16.868068880632517 0.03566597312883212 59053.700351253385 0.38978497539237494 None None 2.216 1.652 0.0 0.02
J-c-o dehvils True F19 17.440692846758964 0.06185388712880257 0.9685710831302916 0.034637919689868846 17.00479666546196 0.027587448459830625 16.87549467637873 0.026973901877787105 59053.572713865266 0.37052747647895434 None None 0.943 0.871 0.539 0.639
J-c-o dehvils True O94 17.443519804376848 0.06761226562769526 0.9686285293750034 0.03631283621469893 17.00669641507189 0.029505606354491877 16.877522850186725 0.029536049026653265 59053.573372372724 0.38196325602040243 None None 0.946 0.874 0.536 0.636
J-c-o-ztfg-ztfr 1D3 True O94 17.66421230299477 0.059352371312756134 0.9735176746906632 0.03309891601123379 16.978314573680073 0.026430579173409175 16.792438499727673 0.02884897291607908 59053.5215117582 0.35987937457167557 16.97490783147735 0.021624925504213754 1.372 1.069 0.026 0.329
J-c-o-ztfg-ztfr dehvils True O94 17.464688259226037 0.06053002779242413 0.9852892580085609 0.03246068626698278 16.98486145788765 0.025189973417524627 16.808852702781245 0.026232712304341894 59053.399276767945 0.3580242868246823 16.977864231210212 0.019070772363500167 0.776 0.717 0.9 0.953
J-ztfg-ztfr 1D3 True O94 17.66155601792502 0.05934920964639965 0.9657891106648304 0.03378827898259384 16.952205620124865 0.028856444647392916 None None 59053.52733244893 0.36011444187425135 16.923751613576613 0.022012414229277254 1.354 0.942 0.065 0.578
J-ztfg-ztfr dehvils True O94 17.462821607412973 0.05346461282452273 0.9788408517492841 0.03173687963273662 16.957602707883417 0.024900540253586522 None None 59053.36848849071 0.35069286659630955 16.930582587988937 0.01652375871141796 0.41 0.346 1.0 1.0
ztfg-ztfr  True O94 None None 0.9943644387149364 0.03200410617197506 16.96468586095698 0.024529415527988728 None None 59053.20104324985 0.3551433472221046 16.938269776860817 0.015908215002269372 0.289 0.265 1.0 1.0
